Date,Open,High,Low,Close,Adj Close,Volume
2013-12-09,104.000000,105.000000,104.000000,105.000000,78.493919,23911000
2013-12-10,104.500000,105.000000,104.000000,104.000000,77.746353,22217000
2013-12-11,103.500000,105.000000,103.500000,105.000000,78.493919,24563000
2013-12-12,104.500000,104.500000,103.000000,103.000000,76.998810,18272000
2013-12-13,102.500000,103.500000,102.500000,102.500000,76.625023,28244000
2013-12-16,102.500000,103.000000,102.000000,102.000000,76.251236,18669000
2013-12-17,103.000000,104.500000,103.000000,103.500000,77.372581,26199000
2013-12-18,102.500000,103.000000,101.000000,101.000000,75.503693,55359000
2013-12-19,102.000000,103.000000,101.500000,102.500000,76.625023,27684000
2013-12-20,101.500000,103.500000,101.500000,102.000000,76.251236,37568000
2013-12-23,103.000000,104.500000,103.000000,104.000000,77.746353,28261000
2013-12-24,104.000000,104.000000,103.000000,103.000000,76.998810,13997000
2013-12-25,102.500000,103.500000,102.500000,103.000000,76.998810,9762000
2013-12-26,103.000000,104.000000,103.000000,104.000000,77.746353,6738000
2013-12-27,103.500000,104.500000,103.000000,104.500000,78.120140,24086000
2013-12-30,104.000000,106.000000,104.000000,106.000000,79.241486,44182000
2013-12-31,105.500000,106.000000,105.000000,105.500000,78.867722,24400000
2014-01-02,105.000000,105.500000,103.500000,104.500000,78.120140,15071000
2014-01-03,103.000000,103.000000,102.000000,102.500000,76.625023,38599000
2014-01-06,102.000000,103.000000,102.000000,102.500000,76.625023,23706000
2014-01-07,102.500000,103.000000,102.000000,102.000000,76.251236,15836000
2014-01-08,103.000000,104.500000,102.500000,104.000000,77.746353,30218000
2014-01-09,102.500000,103.000000,100.500000,101.000000,75.503693,63998000
2014-01-10,102.000000,102.500000,101.500000,102.000000,76.251236,33266000
2014-01-13,103.000000,103.500000,102.500000,103.000000,76.998810,19545000
2014-01-14,102.500000,103.500000,102.000000,103.500000,77.372581,21639000
2014-01-15,104.000000,106.000000,104.000000,105.000000,78.493919,54299000
2014-01-16,106.000000,107.500000,106.000000,107.000000,79.989052,49437000
2014-01-17,108.000000,108.500000,107.000000,107.500000,80.362816,53446000
2014-01-20,107.000000,108.500000,107.000000,107.500000,80.362816,24245000
2014-01-21,108.500000,108.500000,106.000000,106.500000,79.615273,24568000
2014-01-22,106.000000,107.500000,106.000000,107.500000,80.362816,28698000
2014-01-23,108.500000,108.500000,107.500000,107.500000,80.362816,27910000
2014-01-24,107.000000,108.500000,107.000000,108.000000,80.736603,33999000
2014-01-27,106.000000,106.500000,104.000000,105.000000,78.493919,64827000
2014-02-05,102.000000,102.000000,100.500000,100.500000,75.129883,145517000
2014-02-06,101.000000,103.000000,101.000000,102.000000,76.251236,71895000
2014-02-07,103.500000,104.500000,103.000000,104.000000,77.746353,54104000
2014-02-10,104.000000,104.500000,103.000000,103.000000,76.998810,26221000
2014-02-11,104.500000,105.000000,104.000000,104.500000,78.120140,21030000
2014-02-12,105.000000,105.500000,104.500000,105.000000,78.493919,22692000
2014-02-13,105.000000,106.000000,105.000000,105.000000,78.493919,19561000
2014-02-14,106.500000,107.500000,106.500000,107.500000,80.362816,42658000
2014-02-17,108.000000,108.500000,107.500000,108.500000,81.110374,33403000
2014-02-18,108.500000,108.500000,107.500000,108.000000,80.736603,22196000
2014-02-19,108.000000,108.000000,107.000000,108.000000,80.736603,26867000
2014-02-20,106.500000,107.000000,106.000000,106.500000,79.615273,28429000
2014-02-21,107.000000,107.500000,107.000000,107.500000,80.362816,31448000
2014-02-24,107.500000,108.000000,106.000000,107.000000,79.989052,32033000
2014-02-25,107.500000,108.000000,106.500000,108.000000,80.736603,31499000
2014-02-26,107.500000,108.000000,107.000000,107.500000,80.362816,34908000
2014-02-27,107.500000,108.000000,107.500000,108.000000,80.736603,48583000
2014-03-03,108.000000,108.000000,106.500000,108.000000,80.736603,51435000
2014-03-04,108.000000,108.000000,107.500000,107.500000,80.362816,47911000
2014-03-05,108.500000,110.000000,108.500000,110.000000,82.231735,54846000
2014-03-06,110.000000,113.500000,110.000000,113.000000,84.474419,69737000
2014-03-07,114.000000,115.000000,113.500000,114.500000,85.595749,65651000
2014-03-10,114.500000,114.500000,112.500000,113.000000,84.474419,37846000
2014-03-11,113.500000,114.500000,113.500000,114.000000,85.221985,28415000
2014-03-12,112.500000,113.000000,112.000000,113.000000,84.474419,18376000
2014-03-13,116.500000,117.500000,115.500000,116.500000,87.090881,56987000
2014-03-14,115.000000,115.500000,114.000000,115.000000,85.969551,44655000
2014-03-17,114.500000,115.000000,113.000000,114.000000,85.221985,33845000
2014-03-18,114.500000,115.000000,113.500000,114.500000,85.595749,37464000
2014-03-19,114.500000,115.000000,113.500000,114.500000,85.595749,32171000
2014-03-20,113.000000,113.500000,112.000000,112.000000,83.726852,45292000
2014-03-21,114.000000,114.000000,112.000000,112.500000,84.100624,60088000
2014-03-24,111.500000,112.500000,111.500000,112.500000,84.100624,28463000
2014-03-25,111.500000,113.500000,111.500000,113.500000,84.848190,38029000
2014-03-26,115.500000,116.000000,114.500000,115.500000,86.343307,43314000
2014-03-27,114.500000,116.000000,114.000000,116.000000,86.717102,30745000
2014-03-28,116.000000,117.500000,115.500000,117.500000,87.838448,43654000
2014-03-31,118.000000,118.500000,116.500000,118.500000,88.586006,46921000
2014-04-01,119.000000,119.500000,118.500000,119.500000,89.333549,40015000
2014-04-02,120.500000,121.000000,119.000000,120.000000,89.707359,43151000
2014-04-03,118.500000,119.000000,117.500000,118.500000,88.586006,36937000
2014-04-07,117.500000,118.000000,116.500000,117.500000,87.838448,45015000
2014-04-08,117.000000,119.500000,117.000000,119.000000,88.959763,39873000
2014-04-09,119.500000,120.000000,119.000000,119.000000,88.959763,28578000
2014-04-10,119.000000,119.500000,118.500000,119.500000,89.333549,25612000
2014-04-11,118.500000,120.000000,118.000000,120.000000,89.707359,34449000
2014-04-14,120.000000,121.000000,120.000000,120.500000,90.081131,30297000
2014-04-15,121.500000,122.500000,121.000000,122.500000,91.576248,28525000
2014-04-16,121.500000,122.500000,121.000000,121.000000,90.454880,49971000
2014-04-17,120.500000,121.500000,119.000000,120.000000,89.707359,35783000
2014-04-18,122.500000,123.000000,121.000000,123.000000,91.950027,32741000
2014-04-21,122.000000,122.000000,121.000000,121.500000,90.828682,21736000
2014-04-22,121.000000,122.500000,120.500000,121.500000,90.828682,22674000
2014-04-23,123.000000,123.000000,120.500000,121.000000,90.454880,31054000
2014-04-24,121.000000,121.000000,120.000000,121.000000,90.454880,24389000
2014-04-25,121.000000,121.000000,118.000000,118.500000,88.586006,49361000
2014-04-28,118.500000,120.000000,117.500000,119.000000,88.959763,28017000
2014-04-29,120.500000,121.000000,119.000000,120.500000,90.081131,21769000
2014-04-30,120.000000,120.500000,117.000000,118.500000,88.586006,43654000
2014-05-02,119.000000,119.500000,117.000000,118.000000,88.212212,42629000
2014-05-05,117.500000,118.000000,116.000000,117.000000,87.464645,28604000
2014-05-06,117.000000,119.000000,116.500000,118.000000,88.212212,27491000
2014-05-07,118.000000,119.000000,117.500000,118.500000,88.586006,33234000
2014-05-08,119.500000,120.000000,119.000000,119.500000,89.333549,27052000
2014-05-09,120.000000,120.000000,119.000000,120.000000,89.707359,22485000
2014-05-12,119.500000,120.000000,117.500000,118.500000,88.586006,35472000
