日　　期	市　　場	產　　品	上價	中價	下價	平均價(元/公斤)	增減%	交易量(公斤)	增減%	
111/04/30	540 南投市  	FC1 胡瓜 黑刺 	11.0 	9.0 	2.0 	8.4 	 -  5	696 	 + 18	5825.52
111/04/30	540 南投市  	FD1 花胡瓜  	25.0 	13.0 	2.0 	12.5 	 +  9	420 	 + 17	5241.6
111/04/30	540 南投市  	FF1 絲瓜  	30.0 	29.0 	17.0 	28.4 	 + 50	227 	 -  6	6444.53
111/04/30	540 南投市  	FG1 苦瓜 白大米 	35.0 	21.0 	7.0 	20.8 	 - 32	512 	 + 98	10659.84
111/04/30	540 南投市  	FH2 扁蒲 圓形 	15.0 	9.0 	4.5 	8.3 	 - 34	326 	 -  8	2709.06
111/04/30	540 南投市  	FI2 茄子 麻荸茄 	20.0 	13.0 	1.0 	12.4 	 -  6	409 	 + 29	5087.96
111/04/30	540 南投市  	FJ3 番茄 牛番茄 	43.0 	34.0 	22.0 	33.7 	  -  	363 	  -  	12243.99
111/04/30	540 南投市  	FK5 甜椒 青椒 	28.0 	16.0 	5.0 	15.0 	  -  	439 	  -  	6593.78
111/04/30	540 南投市  	FN2 敏豆 青豆 	110.0 	52.0 	8.0 	51.7 	 - 25	113 	 +  1	5839.84
111/04/30	540 南投市  	LA1 甘藍 初秋 	37.0 	31.0 	29.0 	30.5 	 - 13	693 	 + 69	21136.5
111/04/30	540 南投市  	LC1 包心白 包白 	15.0 	15.0 	15.0 	15.0 	  -  	182 	  -  	2730
111/04/30	540 南投市  	OX1 其他  	60.0 	25.0 	2.0 	23.7 	 + 11	"2,052 "	 - 10	48529.8
111/04/30	540 南投市  	SA3 蘿蔔 矸仔 	10.0 	10.0 	10.0 	10.0 	  -  	200 	  -  	2000
111/04/30	540 南投市  	SG1 大蒜 硬梗 	10.0 	8.0 	4.0 	7.5 	 - 18	190 	 + 11	1421.2
111/04/30	540 南投市  	SQ3 茭白筍 去殼 	270.0 	194.0 	85.0 	192.2 	 + 25	62 	 + 24	11913.92
111/05/01	540 南投市  	FB2 花椰菜 白梗 	65.0 	45.0 	30.0 	44.7 	  -  	169 	  -  	7561.06
111/05/01	540 南投市  	FC1 胡瓜 黑刺 	12.0 	5.0 	2.0 	4.6 	 - 45	"1,007 "	 + 45	4632.2
111/05/01	540 南投市  	FD1 花胡瓜  	30.0 	17.0 	6.0 	16.6 	 + 33	312 	 - 26	5163.6
111/05/01	540 南投市  	FF1 絲瓜  	33.0 	31.0 	22.0 	30.8 	 +  9	108 	 - 52	3330.72
111/05/01	540 南投市  	FG1 苦瓜 白大米 	47.0 	34.0 	12.0 	33.5 	 + 61	289 	 - 44	9672.83
111/05/01	540 南投市  	FH2 扁蒲 圓形 	13.0 	10.0 	7.0 	9.7 	 + 17	212 	 - 35	2056.4
111/05/01	540 南投市  	FI2 茄子 麻荸茄 	25.0 	11.0 	1.0 	10.7 	 - 14	525 	 + 28	5612.25
