日　　期	市　　場	產　　品	上價	中價	下價	平均價(元/公斤)	增減%	交易量(公斤)	增減%	
111/06/26	540 南投市  	FD1 花胡瓜  	50.0 	38.0 	19.0 	37.9 	 - 18	495 	 +193	18745.65
111/06/26	540 南投市  	FF1 絲瓜  	30.0 	27.0 	6.0 	26.9 	 + 16	408 	 - 36	10967.04
111/06/26	540 南投市  	FG1 苦瓜 白大米 	60.0 	47.0 	26.0 	46.4 	 +  4	120 	 - 58	5564.4
111/06/26	540 南投市  	FH2 扁蒲 圓形 	18.0 	15.0 	13.0 	14.2 	 + 14	315 	 + 68	4485.6
111/06/26	540 南投市  	FI2 茄子 麻荸茄 	35.0 	24.0 	4.0 	23.5 	 -  7	624 	 + 50	14645.28
111/06/26	540 南投市  	FJ3 番茄 牛番茄 	50.0 	39.0 	14.0 	38.9 	 +  9	169 	 - 27	6570.72
111/06/26	540 南投市  	FM2 菜豆 青色 	40.0 	29.0 	20.0 	28.1 	 + 33	129 	 - 40	3619.74
111/06/26	540 南投市  	LA1 甘藍 初秋 	30.0 	29.0 	25.0 	28.5 	 +  2	414 	 - 56	11786.58
111/06/26	540 南投市  	OX1 其他  	250.0 	40.0 	5.0 	38.3 	 + 16	"1,637 "	 - 20	62746.21
111/06/26	540 南投市  	SH1 竹筍 麻竹筍 	29.0 	21.0 	10.0 	20.4 	 + 59	77 	 - 37	1567.72
111/06/26	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	53.0 	10.0 	52.7 	 +  2	115 	 + 44	6063.95
111/06/26	540 南投市  	SQ3 茭白筍 去殼 	260.0 	183.0 	83.0 	181.7 	 -  6	115 	 +  3	20895.5
111/06/28	540 南投市  	FC1 胡瓜 黑刺 	13.0 	8.0 	3.0 	7.6 	 - 22	484 	 - 41	3668.72
111/06/28	540 南投市  	FD1 花胡瓜  	50.0 	36.0 	25.0 	35.6 	 -  6	501 	 +  1	17845.62
111/06/28	540 南投市  	FF1 絲瓜  	27.0 	22.0 	6.0 	21.8 	 - 19	"1,025 "	 +151	22293.75
111/06/28	540 南投市  	FG1 苦瓜 白大米 	55.0 	44.0 	28.0 	43.4 	 -  6	207 	 + 73	8992.08
111/06/28	540 南投市  	FH2 扁蒲 圓形 	20.0 	16.0 	7.5 	15.4 	 +  8	527 	 + 67	8121.07
111/06/28	540 南投市  	FI2 茄子 麻荸茄 	35.0 	23.0 	6.0 	22.2 	 -  5	491 	 - 21	10900.2
111/06/28	540 南投市  	FJ3 番茄 牛番茄 	38.0 	34.0 	27.0 	33.8 	 - 13	150 	 - 11	5070
111/06/28	540 南投市  	FM2 菜豆 青色 	36.0 	28.0 	12.0 	27.9 	 -  1	217 	 + 68	6049.96
111/06/28	540 南投市  	FN2 敏豆 青豆 	130.0 	92.0 	35.0 	90.1 	  -  	60 	  -  	5403
111/06/28	540 南投市  	LA1 甘藍 初秋 	37.0 	32.0 	25.0 	31.1 	 +  9	711 	 + 72	22126.32
111/06/28	540 南投市  	LB1 小白菜 土白菜 	31.0 	26.0 	15.0 	25.5 	  -  	58 	  -  	1477.26
111/06/28	540 南投市  	OX1 其他  	270.0 	34.0 	5.5 	32.5 	 - 15	"2,203 "	 + 35	71663.59
111/06/28	540 南投市  	SH1 竹筍 麻竹筍 	25.0 	20.0 	15.0 	19.5 	 -  4	220 	 +186	4279
111/06/28	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	47.0 	10.0 	46.4 	 - 12	61 	 - 47	2827.35
111/06/28	540 南投市  	SQ3 茭白筍 去殼 	260.0 	188.0 	75.0 	187.2 	 +  3	87 	 - 24	16282.92
111/06/29	540 南投市  	FC1 胡瓜 黑刺 	11.0 	6.0 	1.0 	5.9 	 - 23	343 	 - 29	2009.98
111/06/29	540 南投市  	FD1 花胡瓜  	45.0 	29.0 	10.0 	28.4 	 - 20	443 	 - 12	12559.05
111/06/29	540 南投市  	FF1 絲瓜  	30.0 	20.0 	6.0 	19.0 	 - 13	858 	 - 16	16293.42
111/06/29	540 南投市  	FG1 苦瓜 白大米 	48.0 	41.0 	35.0 	40.4 	 -  7	314 	 + 52	12691.88
111/06/29	540 南投市  	FH2 扁蒲 圓形 	18.0 	14.0 	10.0 	13.3 	 - 14	552 	 +  5	7319.52
111/06/29	540 南投市  	FI2 茄子 麻荸茄 	29.0 	19.0 	5.0 	18.6 	 - 16	408 	 - 17	7588.8
111/06/29	540 南投市  	FJ3 番茄 牛番茄 	50.0 	43.0 	40.0 	42.5 	 + 26	115 	 - 23	4889.8
111/06/29	540 南投市  	FM2 菜豆 青色 	35.0 	25.0 	7.0 	24.7 	 - 12	72 	 - 67	1776.24
111/06/29	540 南投市  	FN2 敏豆 青豆 	100.0 	28.0 	10.0 	27.7 	 - 69	132 	 +120	3652.44
111/06/29	540 南投市  	LA1 甘藍 初秋 	31.0 	29.0 	26.0 	28.6 	 -  8	412 	 - 42	11791.44
111/06/29	540 南投市  	OX1 其他  	280.0 	28.0 	4.0 	26.4 	 - 19	"2,186 "	 -  1	57797.84
111/06/29	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	41.0 	4.0 	40.1 	 - 13	103 	 + 69	4132.36
111/06/29	540 南投市  	SQ3 茭白筍 去殼 	260.0 	170.0 	75.0 	169.3 	 - 10	79 	 -  9	13377.07
111/06/30	540 南投市  	FD1 花胡瓜  	31.0 	20.0 	7.0 	19.0 	 - 33	417 	 -  6	7923
111/06/30	540 南投市  	FF1 絲瓜  	20.0 	14.0 	7.0 	13.8 	 - 27	697 	 - 19	9597.69
111/06/30	540 南投市  	FG1 苦瓜 白大米 	46.0 	41.0 	35.0 	40.6 	 +  1	178 	 - 43	7233.92
111/06/30	540 南投市  	FI2 茄子 麻荸茄 	22.0 	17.0 	8.0 	16.0 	 - 14	442 	 +  8	7085.26
111/06/30	540 南投市  	FJ3 番茄 牛番茄 	48.0 	35.0 	28.0 	34.4 	 - 19	80 	 - 30	2750.4
111/06/30	540 南投市  	FM2 菜豆 青色 	36.0 	29.0 	5.0 	28.1 	 + 14	195 	 +171	5481.45
111/06/30	540 南投市  	FN2 敏豆 青豆 	90.0 	51.0 	8.0 	50.0 	 + 81	116 	 - 12	5797.68
111/06/30	540 南投市  	LA1 甘藍 初秋 	35.0 	33.0 	32.0 	32.9 	 + 15	154 	 - 63	5065.06
111/06/30	540 南投市  	OX1 其他  	140.0 	28.0 	8.0 	26.7 	 +  1	"1,242 "	 - 43	33173.82
111/06/30	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	57.0 	20.0 	56.9 	 + 42	39 	 - 62	2218.32
111/06/30	540 南投市  	SQ3 茭白筍 去殼 	260.0 	170.0 	69.0 	168.5 	 -  0	77 	 -  3	12976.81
111/07/01	540 南投市  	FD1 花胡瓜  	35.0 	21.0 	5.0 	20.6 	 +  8	161 	 - 61	3311.77
111/07/01	540 南投市  	FF1 絲瓜  	20.0 	11.0 	4.5 	10.8 	 - 21	921 	 + 32	9983.64
111/07/01	540 南投市  	FG1 苦瓜 白大米 	46.0 	41.0 	10.0 	40.0 	 -  2	342 	 + 92	13686.84
111/07/01	540 南投市  	FH2 扁蒲 圓形 	17.0 	12.0 	4.0 	11.3 	  -  	372 	  -  	4188.72
111/07/01	540 南投市  	FI2 茄子 麻荸茄 	35.0 	17.0 	1.0 	16.1 	 +  0	639 	 + 45	10255.95
111/07/01	540 南投市  	FM2 菜豆 青色 	30.0 	20.0 	7.0 	19.5 	 - 31	66 	 - 66	1284.36
111/07/01	540 南投市  	FN2 敏豆 青豆 	100.0 	30.0 	7.0 	29.4 	 - 41	82 	 - 29	2413.26
111/07/01	540 南投市  	LA1 甘藍 初秋 	35.0 	32.0 	30.0 	31.9 	 -  3	197 	 + 28	6292.18
111/07/01	540 南投市  	LB1 小白菜 土白菜 	25.0 	23.0 	10.0 	22.6 	  -  	75 	  -  	1692
111/07/01	540 南投市  	OX1 其他  	280.0 	29.0 	6.0 	27.7 	 +  4	"1,682 "	 + 35	46641.86
111/07/01	540 南投市  	SH1 竹筍 麻竹筍 	25.0 	19.0 	15.0 	18.7 	  -  	164 	  -  	3063.52
111/07/01	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	40.0 	8.0 	39.2 	 - 31	66 	 + 69	2587.2
111/07/01	540 南投市  	SQ3 茭白筍 去殼 	210.0 	127.0 	68.0 	126.0 	 - 25	55 	 - 29	6927.25
111/07/02	540 南投市  	FC1 胡瓜 黑刺 	18.0 	8.0 	1.0 	7.8 	  -  	481 	  -  	3727.75
111/07/02	540 南投市  	FD1 花胡瓜  	30.0 	25.0 	7.0 	24.5 	 + 19	452 	 +181	11078.52
111/07/02	540 南投市  	FF1 絲瓜  	16.0 	11.0 	5.0 	10.7 	 -  1	872 	 -  5	9356.56
111/07/02	540 南投市  	FG1 苦瓜 白大米 	47.0 	39.0 	15.0 	38.6 	 -  4	254 	 - 26	9796.78
111/07/02	540 南投市  	FI2 茄子 麻荸茄 	25.0 	14.0 	4.0 	13.2 	 - 18	641 	 +  0	8435.56
111/07/02	540 南投市  	FJ3 番茄 牛番茄 	42.0 	39.0 	28.0 	38.2 	  -  	130 	  -  	4969.9
111/07/02	540 南投市  	FK5 甜椒 青椒 	52.0 	28.0 	3.0 	27.4 	  -  	187 	  -  	5131.28
111/07/02	540 南投市  	FM2 菜豆 青色 	35.0 	27.0 	10.0 	26.4 	 + 36	142 	 +115	3753.06
111/07/02	540 南投市  	FN2 敏豆 青豆 	83.0 	28.0 	4.0 	27.2 	 -  8	122 	 + 49	3313.52
111/07/02	540 南投市  	LA1 甘藍 初秋 	35.0 	32.0 	27.0 	31.7 	 -  1	314 	 + 59	9947.52
111/07/02	540 南投市  	OX1 其他  	260.0 	37.0 	3.0 	35.4 	 + 28	"2,127 "	 + 26	75274.53
111/07/02	540 南投市  	SH1 竹筍 麻竹筍 	23.0 	17.0 	7.0 	16.3 	 - 13	359 	 +119	5855.29
111/07/02	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	43.0 	3.0 	42.7 	 +  9	66 	    0	2815.56
111/07/02	540 南投市  	SQ3 茭白筍 去殼 	260.0 	182.0 	75.0 	181.0 	 + 44	85 	 + 55	15380.75
111/07/03	540 南投市  	FC1 胡瓜 黑刺 	20.0 	18.0 	2.0 	7.8 	 +  1	421 	 - 12	3292.22
111/07/03	540 南投市  	FD1 花胡瓜  	40.0 	26.0 	10.0 	25.6 	 +  4	533 	 + 18	13618.15
111/07/03	540 南投市  	FF1 絲瓜  	20.0 	9.0 	4.0 	8.6 	 - 20	"1,104 "	 + 27	9439.2
111/07/03	540 南投市  	FG1 苦瓜 白大米 	46.0 	37.0 	7.0 	36.2 	 -  6	243 	 -  4	8799.03
111/07/03	540 南投市  	FH2 扁蒲 圓形 	12.0 	10.0 	5.0 	9.7 	  -  	241 	  -  	2330.47
111/07/03	540 南投市  	FI2 茄子 麻荸茄 	23.0 	10.0 	2.0 	9.5 	 - 28	982 	 + 53	9338.82
111/07/03	540 南投市  	FJ3 番茄 牛番茄 	45.0 	38.0 	20.0 	37.4 	 -  2	225 	 + 73	8410.5
111/07/03	540 南投市  	FM2 菜豆 青色 	35.0 	25.0 	20.0 	24.5 	 -  7	119 	 - 16	2910.74
111/07/03	540 南投市  	FN2 敏豆 青豆 	60.0 	30.0 	3.0 	29.4 	 +  8	116 	 -  5	3406.92
111/07/03	540 南投市  	LA1 甘藍 初秋 	35.0 	32.0 	27.0 	31.5 	 -  1	318 	 +  1	10001.1
111/07/03	540 南投市  	OX1 其他  	120.0 	32.0 	5.0 	30.1 	 - 15	"2,343 "	 + 10	70524.3
111/07/03	540 南投市  	SE1 青蔥 日蔥 	32.0 	31.0 	30.0 	30.4 	  -  	114 	  -  	3467.88
111/07/03	540 南投市  	SH1 竹筍 麻竹筍 	26.0 	13.0 	7.0 	12.9 	 - 21	363 	 +  1	4697.22
111/07/03	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	47.0 	4.0 	46.8 	 + 10	58 	 - 12	2712.08
111/07/03	540 南投市  	SQ3 茭白筍 去殼 	260.0 	200.0 	73.0 	198.9 	 + 10	100 	 + 18	19889
111/07/05	540 南投市  	FC1 胡瓜 黑刺 	20.0 	8.0 	2.0 	7.3 	 -  7	493 	 + 17	3593.97
111/07/05	540 南投市  	FD1 花胡瓜  	35.0 	21.0 	12.0 	20.0 	 - 22	814 	 + 53	16304.42
111/07/05	540 南投市  	FF1 絲瓜  	16.0 	8.0 	3.5 	7.7 	 - 10	965 	 - 13	7391.9
111/07/05	540 南投市  	FG1 苦瓜 白大米 	38.0 	33.0 	22.0 	32.9 	 -  9	300 	 + 23	9861
111/07/05	540 南投市  	FH2 扁蒲 圓形 	12.0 	10.0 	6.0 	9.5 	 -  2	146 	 - 39	1379.7
111/07/05	540 南投市  	FI2 茄子 麻荸茄 	20.0 	9.0 	1.0 	8.1 	 - 14	748 	 - 24	6088.72
111/07/05	540 南投市  	FJ3 番茄 牛番茄 	55.0 	40.0 	29.0 	39.5 	 +  6	265 	 + 18	10462.2
111/07/05	540 南投市  	FM2 菜豆 青色 	31.0 	26.0 	15.0 	25.8 	 +  5	234 	 + 97	6037.2
111/07/05	540 南投市  	OX1 其他  	270.0 	32.0 	3.0 	30.0 	 -  0	"2,920 "	 + 25	87658.4
111/07/05	540 南投市  	SE1 青蔥 日蔥 	35.0 	28.0 	25.0 	27.7 	 -  9	138 	 + 21	3819.84
111/07/05	540 南投市  	SH1 竹筍 麻竹筍 	16.0 	13.0 	8.0 	12.9 	    0	420 	 + 16	5434.8
111/07/05	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	57.0 	10.0 	56.6 	 + 21	35 	 - 40	1979.95
111/07/05	540 南投市  	SQ3 茭白筍 去殼 	260.0 	178.0 	70.0 	177.8 	 - 11	64 	 - 36	11381.76
111/07/06	540 南投市  	FC1 胡瓜 黑刺 	11.0 	8.0 	1.0 	7.5 	 +  2	446 	 - 10	3322.7
111/07/06	540 南投市  	FD1 花胡瓜  	35.0 	23.0 	9.0 	22.4 	 + 12	375 	 - 54	8411.25
111/07/06	540 南投市  	FF1 絲瓜  	15.0 	9.0 	2.0 	8.1 	 +  5	494 	 - 49	3981.64
111/07/06	540 南投市  	FG1 苦瓜 白大米 	45.0 	28.0 	5.5 	27.8 	 - 15	842 	 +181	23424.44
111/07/06	540 南投市  	FI2 茄子 麻荸茄 	20.0 	7.0 	1.0 	6.6 	 - 19	672 	 - 10	4455.36
111/07/06	540 南投市  	FJ3 番茄 牛番茄 	49.0 	34.0 	18.0 	33.3 	 - 16	418 	 + 58	13931.94
111/07/06	540 南投市  	FK5 甜椒 青椒 	40.0 	33.0 	29.0 	32.1 	  -  	171 	  -  	5487.39
111/07/06	540 南投市  	LA1 甘藍 初秋 	32.0 	28.0 	19.0 	27.3 	  -  	"1,126 "	  -  	30706.02
111/07/06	540 南投市  	OX1 其他  	250.0 	25.0 	1.0 	23.3 	 - 22	"2,424 "	 - 17	56406.48
111/07/06	540 南投市  	SE1 青蔥 日蔥 	40.0 	27.0 	26.0 	26.4 	 -  5	83 	 - 40	2192.03
111/07/06	540 南投市  	SH1 竹筍 麻竹筍 	27.0 	12.0 	5.0 	11.7 	 - 10	327 	 - 22	3829.17
111/07/06	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	44.0 	2.0 	43.4 	 - 23	54 	 + 54	2345.76
111/07/06	540 南投市  	SQ3 茭白筍 去殼 	260.0 	146.0 	60.0 	144.9 	 - 19	104 	 + 63	15066.48
111/07/07	540 南投市  	FC1 胡瓜 黑刺 	11.0 	7.0 	2.0 	6.0 	 - 19	381 	 - 15	2286
111/07/07	540 南投市  	FD1 花胡瓜  	40.0 	23.0 	8.0 	22.3 	 -  1	495 	 + 32	11043.45
111/07/07	540 南投市  	FF1 絲瓜  	20.0 	16.0 	4.0 	15.3 	 + 89	279 	 - 44	4254.75
111/07/07	540 南投市  	FG1 苦瓜 白大米 	30.0 	25.0 	3.0 	24.6 	 - 12	701 	 - 17	17209.55
111/07/07	540 南投市  	FI2 茄子 麻荸茄 	23.0 	9.0 	1.0 	8.4 	 + 27	724 	 +  8	6096.08
111/07/07	540 南投市  	FJ3 番茄 牛番茄 	42.0 	31.0 	15.0 	30.2 	 -  9	320 	 - 23	9670.4
111/07/07	540 南投市  	FM2 菜豆 青色 	34.0 	31.0 	15.0 	30.0 	  -  	124 	  -  	3720
111/07/07	540 南投市  	LA1 甘藍 初秋 	35.0 	29.0 	20.0 	28.4 	 +  4	924 	 - 18	26213.88
111/07/07	540 南投市  	OX1 其他  	250.0 	30.0 	3.5 	28.3 	 + 22	"2,087 "	 - 14	59145.58
111/07/07	540 南投市  	SH1 竹筍 麻竹筍 	17.0 	14.0 	10.0 	13.1 	 + 11	111 	 - 66	1448.55
111/07/07	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	58.0 	6.0 	57.8 	 + 33	50 	 -  7	2889
111/07/07	540 南投市  	SQ3 茭白筍 去殼 	260.0 	152.0 	70.0 	150.1 	 +  4	71 	 - 32	10659.94
111/07/08	540 南投市  	FC1 胡瓜 黑刺 	17.0 	8.0 	2.0 	7.1 	 + 19	327 	 - 14	2331.51
111/07/08	540 南投市  	FD1 花胡瓜  	40.0 	27.0 	15.0 	26.1 	 + 17	278 	 - 44	7244.68
111/07/08	540 南投市  	FF1 絲瓜  	18.0 	16.0 	6.5 	15.1 	 -  1	150 	 - 46	2268
111/07/08	540 南投市  	FG1 苦瓜 白大米 	30.0 	20.0 	14.0 	19.8 	 - 19	600 	 - 14	11886
111/07/08	540 南投市  	FI2 茄子 麻荸茄 	18.0 	7.0 	1.0 	6.2 	 - 26	772 	 +  7	4809.56
111/07/08	540 南投市  	FJ3 番茄 牛番茄 	45.0 	32.0 	15.0 	31.6 	 +  5	210 	 - 34	6640.2
111/07/08	540 南投市  	FK5 甜椒 青椒 	35.0 	29.0 	25.0 	28.1 	  -  	122 	  -  	3426.98
111/07/08	540 南投市  	FM2 菜豆 青色 	23.0 	20.0 	11.0 	19.5 	 - 35	64 	 - 48	1250.56
111/07/08	540 南投市  	FN2 敏豆 青豆 	20.0 	19.0 	17.0 	18.9 	  -  	79 	  -  	1490.73
111/07/08	540 南投市  	LA1 甘藍 初秋 	30.0 	20.0 	5.0 	19.8 	 - 30	"1,131 "	 + 22	22371.18
111/07/08	540 南投市  	OX1 其他  	220.0 	30.0 	5.0 	28.2 	 -  1	"2,081 "	 -  0	58580.15
111/07/08	540 南投市  	SH1 竹筍 麻竹筍 	14.0 	12.0 	6.0 	11.3 	 - 13	194 	 + 75	2198.02
111/07/08	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	39.0 	8.0 	38.1 	 - 34	51 	 +  2	1944.63
111/07/08	540 南投市  	SQ3 茭白筍 去殼 	260.0 	193.0 	77.0 	192.1 	 + 28	62 	 - 13	11912.06
111/07/09	540 南投市  	FD1 花胡瓜  	40.0 	26.0 	10.0 	25.2 	 -  3	541 	 + 95	13649.43
111/07/09	540 南投市  	FF1 絲瓜  	20.0 	13.0 	6.0 	12.6 	 - 17	300 	 +100	3786
111/07/09	540 南投市  	FG1 苦瓜 白大米 	25.0 	22.0 	14.0 	21.2 	 +  7	228 	 - 62	4842.72
111/07/09	540 南投市  	FI2 茄子 麻荸茄 	17.0 	8.0 	1.0 	7.7 	 + 24	646 	 - 16	5000.04
111/07/09	540 南投市  	FK5 甜椒 青椒 	36.0 	27.0 	20.0 	26.6 	 -  5	195 	 + 60	5179.2
111/07/09	540 南投市  	FM2 菜豆 青色 	36.0 	32.0 	20.0 	31.0 	 + 58	100 	 + 56	3097
111/07/09	540 南投市  	FN2 敏豆 青豆 	110.0 	32.0 	8.0 	31.8 	 + 69	151 	 + 91	4804.82
111/07/09	540 南投市  	LA1 甘藍 初秋 	26.0 	24.0 	15.0 	23.0 	 + 16	"1,523 "	 + 35	34998.54
111/07/09	540 南投市  	OX1 其他  	210.0 	31.0 	2.0 	29.4 	 +  4	"2,771 "	 + 33	81411.98
111/07/09	540 南投市  	SH1 竹筍 麻竹筍 	28.0 	13.0 	8.5 	12.1 	 +  6	262 	 + 35	3159.72
111/07/09	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	43.0 	7.0 	42.7 	 + 12	61 	 + 20	2604.7
111/07/09	540 南投市  	SQ3 茭白筍 去殼 	260.0 	215.0 	65.0 	213.5 	 + 11	70 	 + 13	14945
111/07/10	540 南投市  	FC1 胡瓜 黑刺 	17.0 	9.0 	1.0 	8.3 	  -  	325 	  -  	2710.5
111/07/10	540 南投市  	FD1 花胡瓜  	35.0 	29.0 	7.0 	28.7 	 + 14	515 	 -  5	14801.1
111/07/10	540 南投市  	FF1 絲瓜  	20.0 	19.0 	9.0 	18.1 	 + 43	383 	 + 28	6913.15
111/07/10	540 南投市  	FG1 苦瓜 白大米 	28.0 	16.0 	1.0 	15.3 	 - 28	508 	 +123	7792.72
111/07/10	540 南投市  	FH2 扁蒲 圓形 	17.0 	6.0 	1.0 	5.8 	  -  	168 	  -  	981.12
111/07/10	540 南投市  	FI2 茄子 麻荸茄 	12.0 	6.0 	1.0 	5.4 	 - 30	764 	 + 18	4117.96
111/07/10	540 南投市  	FJ3 番茄 牛番茄 	55.0 	45.0 	40.0 	44.6 	  -  	271 	  -  	12089.31
111/07/10	540 南投市  	FM2 菜豆 青色 	30.0 	28.0 	17.0 	27.1 	 - 13	117 	 + 17	3169.53
111/07/10	540 南投市  	LA1 甘藍 初秋 	25.0 	23.0 	19.0 	22.5 	 -  2	926 	 - 39	20797.96
111/07/10	540 南投市  	OX1 其他  	225.0 	31.0 	3.0 	29.2 	 -  1	"2,591 "	 -  6	75683.11
111/07/10	540 南投市  	SH1 竹筍 麻竹筍 	22.0 	10.0 	4.0 	9.8 	 - 18	586 	 +124	5760.38
111/07/10	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	37.0 	4.5 	36.1 	 - 15	94 	 + 54	3392.46
111/07/10	540 南投市  	SQ3 茭白筍 去殼 	260.0 	187.0 	82.0 	185.1 	 - 13	89 	 + 27	16473.9
111/07/12	540 南投市  	FC1 胡瓜 黑刺 	18.0 	10.0 	5.0 	9.3 	 + 11	564 	 + 74	5233.92
111/07/12	540 南投市  	FD1 花胡瓜  	45.0 	28.0 	16.0 	27.7 	 -  4	859 	 + 67	23802.89
111/07/12	540 南投市  	FF1 絲瓜  	25.0 	21.0 	12.0 	20.6 	 + 14	397 	 +  4	8162.32
111/07/12	540 南投市  	FG1 苦瓜 白大米 	30.0 	20.0 	7.0 	19.5 	 + 27	535 	 +  5	10453.9
111/07/12	540 南投市  	FH2 扁蒲 圓形 	15.0 	11.0 	3.0 	11.0 	 + 88	224 	 + 33	2461.76
111/07/12	540 南投市  	FI2 茄子 麻荸茄 	15.0 	11.0 	7.0 	10.6 	 + 96	337 	 - 56	3558.72
111/07/12	540 南投市  	FJ3 番茄 牛番茄 	50.0 	43.0 	35.0 	41.9 	 -  6	156 	 - 42	6539.52
111/07/12	540 南投市  	FM2 菜豆 青色 	30.0 	20.0 	2.0 	19.5 	 - 28	198 	 + 69	3866.94
111/07/12	540 南投市  	LA1 甘藍 初秋 	28.0 	2.6 	27.0 	27.5 	 + 22	342 	 - 63	9401.58
111/07/12	540 南投市  	OX1 其他  	220.0 	27.0 	5.0 	25.5 	 - 13	"2,679 "	 +  3	68207.34
111/07/12	540 南投市  	SE1 青蔥 日蔥 	32.0 	31.0 	30.0 	30.8 	  -  	90 	  -  	2772
111/07/12	540 南投市  	SH1 竹筍 麻竹筍 	14.0 	10.0 	3.0 	9.5 	 -  4	542 	 -  8	5127.32
111/07/12	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	47.0 	2.5 	46.3 	 + 28	54 	 - 43	2501.82
111/07/12	540 南投市  	SQ3 茭白筍 去殼 	260.0 	222.0 	90.0 	220.0 	 + 19	55 	 - 38	12100
111/07/13	540 南投市  	FC1 胡瓜 黑刺 	15.0 	9.0 	1.0 	8.3 	 - 11	479 	 - 15	3966.12
111/07/13	540 南投市  	FD1 花胡瓜  	40.0 	25.0 	5.0 	22.5 	 - 19	858 	 -  0	19262.1
111/07/13	540 南投市  	FG1 苦瓜 白大米 	35.0 	15.0 	5.0 	14.8 	 - 24	856 	 + 60	12634.56
111/07/13	540 南投市  	FH2 扁蒲 圓形 	15.0 	11.0 	9.0 	10.8 	 -  2	203 	 -  9	2196.46
111/07/13	540 南投市  	FI2 茄子 麻荸茄 	17.0 	10.0 	5.5 	9.7 	 -  8	294 	 - 13	2854.74
111/07/13	540 南投市  	FJ3 番茄 牛番茄 	55.0 	43.0 	40.0 	42.7 	 +  2	161 	 +  3	6874.7
111/07/13	540 南投市  	LA1 甘藍 初秋 	35.0 	30.0 	26.0 	29.3 	 +  6	647 	 + 89	18924.75
111/07/13	540 南投市  	OX1 其他  	220.0 	29.0 	5.0 	27.9 	 + 10	"2,757 "	 +  3	76920.3
111/07/13	540 南投市  	SH1 竹筍 麻竹筍 	15.0 	7.0 	2.0 	6.7 	 - 29	465 	 - 14	3134.1
111/07/13	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	44.0 	6.0 	43.1 	 -  7	66 	 + 22	2841.3
111/07/13	540 南投市  	SQ3 茭白筍 去殼 	260.0 	157.0 	75.0 	155.6 	 - 29	44 	 - 20	6844.2
111/07/14	540 南投市  	FC1 胡瓜 黑刺 	18.0 	9.0 	2.0 	8.9 	 +  8	483 	 +  1	4318.02
111/07/14	540 南投市  	FD1 花胡瓜  	40.0 	20.0 	6.0 	19.0 	 - 15	628 	 - 27	11950.84
111/07/14	540 南投市  	FG1 苦瓜 白大米 	28.0 	18.0 	10.0 	17.9 	 + 21	512 	 - 40	9164.8
111/07/14	540 南投市  	FH2 扁蒲 圓形 	16.0 	10.0 	4.0 	9.3 	 - 14	181 	 - 11	1685.11
111/07/14	540 南投市  	FI2 茄子 麻荸茄 	25.0 	12.0 	7.0 	11.9 	 + 23	345 	 + 17	4115.85
111/07/14	540 南投市  	FK5 甜椒 青椒 	35.0 	31.0 	25.0 	30.1 	  -  	154 	  -  	4630.78
111/07/14	540 南投市  	FM2 菜豆 青色 	35.0 	29.0 	1.0 	28.2 	  -  	86 	  -  	2426.92
111/07/14	540 南投市  	LA1 甘藍 初秋 	28.0 	27.6 	27.0 	27.5 	 -  6	472 	 - 27	12975.28
111/07/14	540 南投市  	OX1 其他  	210.0 	30.0 	3.0 	28.2 	 +  1	"1,781 "	 - 35	50224.2
111/07/14	540 南投市  	SH1 竹筍 麻竹筍 	25.0 	9.0 	5.0 	8.9 	 + 32	114 	 - 75	1018.02
111/07/14	540 南投市  	SH2 竹筍 綠竹筍 	75.0 	52.0 	4.5 	51.8 	 + 20	49 	 - 26	2537.22
111/07/14	540 南投市  	SQ3 茭白筍 去殼 	260.0 	184.0 	90.0 	182.6 	 + 17	69 	 + 57	12600.09
111/07/15	540 南投市  	FD1 花胡瓜  	35.0 	21.0 	4.0 	20.8 	 +  9	581 	 -  7	12061.56
111/07/15	540 南投市  	FF1 絲瓜  	30.0 	26.0 	17.0 	25.8 	  -  	243 	  -  	6264.54
111/07/15	540 南投市  	FG1 苦瓜 白大米 	25.0 	19.0 	9.0 	18.1 	 +  1	274 	 - 46	4970.36
111/07/15	540 南投市  	FH2 扁蒲 圓形 	15.0 	12.0 	10.0 	11.0 	 + 18	288 	 + 59	3173.76
111/07/15	540 南投市  	FI2 茄子 麻荸茄 	22.0 	14.0 	7.5 	13.0 	 +  9	389 	 + 13	5045.33
111/07/15	540 南投市  	FJ3 番茄 牛番茄 	55.0 	42.0 	8.0 	41.0 	  -  	129 	  -  	5287.71
