日　　期	市　　場	產　　品	最高價	上價	中價	下價	平均價	增減%	交易量	增減%	殘貨量	
112/04/04	514 彰化市場	FU402 洋桔梗 雙瓣(混色)	161 	137 	56 	20 	65.0 	 + 30	93 	 + 21	0 	6045
112/04/04	514 彰化市場	FU441 洋桔梗 順風粉	33 	33 	29 	28 	30.0 	 - 40	30 	 -  6	0 	900
112/04/04	514 彰化市場	FU442 洋桔梗 雙瓣粉	97 	97 	97 	97 	97.0 	 + 18	7 	 - 91	0 	679
112/04/04	514 彰化市場	FU449 洋桔梗 艾瑞娜彩粉	164 	164 	156 	149 	156.0 	 -  7	15 	 +  7	0 	2340
112/04/04	514 彰化市場	FU457 洋桔梗 順風綠	140 	140 	138 	132 	137.0 	 + 93	26 	 + 37	0 	3562
112/04/04	514 彰化市場	FU462 洋桔梗 雙瓣白	33 	33 	26 	18 	26.0 	 - 16	24 	 - 60	0 	624
112/04/04	514 彰化市場	FU465 洋桔梗 名人華麗白	120 	120 	96 	72 	96.0 	 +123	24 	 - 33	0 	2304
112/04/04	514 彰化市場	FU469 洋桔梗 皇后白	96 	96 	86 	80 	87.0 	  -  	17 	  -  	0 	1479
112/04/04	514 彰化市場	FU471 洋桔梗 重瓣淺紫	103 	103 	103 	103 	103.0 	 +222	20 	 + 67	0 	2060
112/04/04	514 彰化市場	FU472 洋桔梗 重瓣紫	122 	108 	68 	51 	73.0 	 + 74	58 	 +383	0 	4234
112/04/04	514 彰化市場	FU480 洋桔梗 順風紫	153 	121 	71 	28 	72.0 	 -  3	79 	 + 98	0 	5688
112/04/04	514 彰化市場	FU641 洋桔梗 女王３彩粉	170 	170 	129 	74 	126.0 	 -  7	37 	 - 16	0 	4662
112/04/04	514 彰化市場	FW100 星辰花 混色	45 	45 	37 	26 	36.0 	 - 36	61 	 +144	0 	2196
112/04/04	514 彰化市場	FW141 星辰花 大湖魅力	47 	47 	47 	47 	47.0 	 -  8	20 	    0	0 	940
112/04/04	514 彰化市場	FW160 星辰花 白	65 	65 	65 	65 	65.0 	  -  	40 	  -  	0 	2600
112/04/04	514 彰化市場	FW170 星辰花 紫	42 	42 	42 	34 	40.0 	 +  3	86 	 + 10	0 	3440
112/04/04	514 彰化市場	FW171 貝麗星辰 	40 	40 	40 	40 	40.0 	  -  	20 	  -  	0 	800
112/04/04	514 彰化市場	FW271 紫孔雀 春天	27 	27 	27 	27 	27.0 	  -  	24 	  -  	0 	648
112/04/04	514 彰化市場	FW471 卡斯比亞 帶葉	69 	69 	69 	69 	69.0 	 +  1	50 	    0	0 	3450
112/04/04	514 彰化市場	FW472 卡斯比亞 無葉	43 	43 	40 	38 	40.0 	 - 11	93 	 + 29	0 	3720
112/04/04	514 彰化市場	FW560 滿天星 白	32 	32 	27 	22 	27.0 	 - 31	42 	 - 69	0 	1134
112/04/04	514 彰化市場	FW562 滿天星 雪子	54 	54 	54 	54 	54.0 	 +135	16 	    0	0 	864
112/04/04	514 彰化市場	FW568 滿天星 銀河	39 	39 	39 	39 	39.0 	 + 30	40 	    0	0 	1560
112/04/04	514 彰化市場	FW580 滿天星 染色	52 	52 	52 	50 	51.0 	  -  	96 	  -  	0 	4896
112/04/04	514 彰化市場	FW600 水晶花 混合	62 	62 	59 	55 	59.0 	 +  9	40 	 + 90	0 	2360
112/04/04	514 彰化市場	FY000 切葉類 	10 	10 	10 	10 	10.0 	 - 55	6 	 - 88	0 	60
112/04/04	514 彰化市場	FY003 唐棉 	58 	58 	58 	58 	58.0 	  -  	32 	  -  	0 	1856
112/04/04	514 彰化市場	FY004 黃椰心葉 	140 	126 	84 	62 	88.0 	 -  8	955 	 +156	0 	84040
112/04/04	514 彰化市場	FY009 電信蘭葉 	138 	131 	116 	86 	113.0 	 + 14	494 	 -  7	0 	55822
112/04/04	514 彰化市場	FY017 八角金盤 	56 	56 	51 	39 	50.0 	 + 19	213 	 - 31	0 	10650
112/04/04	514 彰化市場	FY021 扁柏 	76 	76 	69 	62 	69.0 	 - 14	72 	 +  9	0 	4968
112/04/04	514 彰化市場	FY050 山蘇葉 	30 	30 	30 	30 	30.0 	 + 58	100 	 + 67	0 	3000
112/04/04	514 彰化市場	FY052 麻葉繡球<小手球> 	42 	42 	42 	42 	42.0 	 - 26	100 	    0	0 	4200
112/04/04	514 彰化市場	FY057 百合竹 	32 	30 	27 	18 	26.0 	 - 16	"1,230 "	 + 80	0 	31980
112/04/04	514 彰化市場	FY071 雪松 	73 	73 	73 	73 	73.0 	  -  	22 	  -  	0 	1606
112/04/04	514 彰化市場	FY084 火龍果 	79 	79 	79 	79 	79.0 	    0	30 	    0	0 	2370
112/04/04	514 彰化市場	FY093 水燭葉 	15 	15 	11 	10 	12.0 	    0	555 	 -  2	210 	6660
112/04/04	514 彰化市場	FY991 青竹 	52 	52 	52 	52 	52.0 	 - 66	12 	 - 37	0 	624
112/04/04	514 彰化市場	FY993 白竹 	115 	110 	88 	63 	87.0 	 +  9	686 	 + 36	0 	59682
112/04/04	514 彰化市場	IA800 進口康乃馨 多朵混色	51 	51 	51 	51 	51.0 	 + 31	16 	 - 89	0 	816
112/04/04	514 彰化市場	IA841 進口康乃馨 多朵淺粉	57 	57 	57 	57 	57.0 	 + 36	36 	    0	0 	2052
112/04/04	514 彰化市場	IC408 進口大菊 粉乒乓	112 	112 	112 	112 	112.0 	 +  2	7 	 - 85	0 	784
112/04/04	514 彰化市場	IC501 進口大菊 綠絲菊	139 	139 	139 	139 	139.0 	 + 23	10 	 - 50	0 	1390
112/04/04	514 彰化市場	IC800 進口染色大菊 	158 	158 	136 	113 	136.0 	 -  9	16 	 - 54	0 	2176
112/04/04	514 彰化市場	IC803 進口染色大菊 牡丹	200 	200 	177 	131 	172.0 	  -  	60 	  -  	0 	10320
112/04/04	514 彰化市場	IH090 進口針墊花 	36 	36 	36 	36 	36.0 	  -  	30 	  -  	0 	1080
112/04/04	514 彰化市場	IH460 進口繡球花 	39 	39 	38 	38 	38.0 	  -  	31 	  -  	0 	1178
112/04/04	514 彰化市場	IH464 繡球花 粉	45 	45 	45 	45 	45.0 	 - 27	20 	 - 67	0 	900
112/04/04	514 彰化市場	IH465 繡球花 綠	22 	22 	22 	22 	22.0 	  -  	20 	  -  	0 	440
112/04/04	514 彰化市場	IH466 繡球花 白	52 	48 	42 	42 	43.0 	 - 31	45 	 - 55	0 	1935
112/04/04	514 彰化市場	IH467 繡球花 藍	41 	41 	37 	29 	36.0 	 - 43	33 	 - 18	0 	1188
112/04/04	514 彰化市場	IH495 進口陸蓮花 	104 	104 	104 	104 	104.0 	  -  	2 	  -  	0 	208
112/04/04	514 彰化市場	IH617 進口鬱金香 紫色	72 	72 	72 	72 	72.0 	  -  	5 	  -  	0 	360
112/04/04	514 彰化市場	IO519 進口石斛蘭 深紅	189 	189 	185 	161 	181.0 	 + 22	128 	 - 41	0 	23168
112/04/04	514 彰化市場	IR100 進口玫瑰 紅	308 	308 	308 	308 	308.0 	  -  	8 	  -  	0 	2464
112/04/04	514 彰化市場	IW560 進口滿天星 白	70 	70 	65 	63 	66.0 	 - 41	90 	 + 25	0 	5940
112/04/04	514 彰化市場	IW580 滿天星 染色	87 	87 	87 	87 	87.0 	 - 26	36 	    0	0 	3132
112/04/04	514 彰化市場	IY981 進口高山羊齒 	61 	61 	61 	61 	61.0 	  -  	24 	  -  	0 	1464
112/04/07	514 彰化市場	FA800 康乃馨 多朵(混色)	33 	29 	21 	15 	21.0 	 + 31	585 	 - 11	0 	12285
112/04/07	514 彰化市場	FA810 康乃馨 多朵紅	19 	19 	18 	15 	18.0 	  -  	142 	  -  	0 	2556
112/04/07	514 彰化市場	FA811 康乃馨 多朵櫻紅	0 	0 	0 	0 	0.0 	 -100	0 	 -100	26 	0
112/04/07	514 彰化市場	FA820 康乃馨 多朵橙	29 	29 	29 	29 	29.0 	 + 81	32 	 - 50	0 	928
112/04/07	514 彰化市場	FA840 康乃馨 多朵粉	36 	36 	36 	36 	36.0 	  -  	30 	  -  	0 	1080
