日　　期	市　　場	產　　品	最高價	上價	中價	下價	平均價	增減%	交易量	增減%	殘貨量	
112/04/07	514 彰化市場	FE700 非洲菊 紫	21 	21 	20 	18 	20.0 	 -  9	180 	 + 20	0 	3600
112/04/07	514 彰化市場	FE703 非洲菊 法老王	19 	19 	18 	16 	18.0 	 + 13	60 	 +100	0 	1080
112/04/07	514 彰化市場	FE704 非洲菊 女王	22 	22 	22 	22 	22.0 	 - 19	30 	 - 50	0 	660
112/04/07	514 彰化市場	FE900 非洲菊 迷你混色	29 	29 	29 	29 	29.0 	    0	50 	 -  4	0 	1450
112/04/07	514 彰化市場	FG100 劍蘭 紅	81 	81 	77 	54 	73.0 	 +  3	71 	 +115	0 	5183
112/04/07	514 彰化市場	FG105 劍蘭 ２３５號	36 	36 	35 	33 	35.0 	 - 26	58 	 +190	0 	2030
112/04/07	514 彰化市場	FG107 劍蘭 黑骨	20 	20 	15 	15 	16.0 	 - 54	125 	 +127	0 	2000
112/04/07	514 彰化市場	FG113 劍蘭 新種紅	61 	57 	37 	20 	38.0 	 - 19	260 	 +168	22 	9880
112/04/07	514 彰化市場	FG406 劍蘭 青殼粉	48 	48 	38 	15 	35.0 	 - 43	115 	 +219	0 	4025
112/04/07	514 彰化市場	FG418 劍蘭 ４３７號	19 	19 	19 	19 	19.0 	  -  	44 	  -  	0 	836
112/04/07	514 彰化市場	FG600 劍蘭 白	42 	42 	24 	15 	26.0 	 - 24	56 	 +250	0 	1456
112/04/07	514 彰化市場	FH000 其它花卉 	72 	72 	62 	47 	61.0 	 - 12	50 	 +163	0 	3050
112/04/07	514 彰化市場	FH005 金鎚花 	15 	15 	15 	15 	15.0 	 - 29	115 	 +188	0 	1725
112/04/07	514 彰化市場	FH006 黃梔花 	85 	84 	78 	59 	75.0 	 + 23	855 	 + 25	0 	64125
112/04/07	514 彰化市場	FH008 洋甘菊 	61 	61 	61 	61 	61.0 	  -  	21 	  -  	0 	1281
112/04/07	514 彰化市場	FH101 天堂鳥 	40 	38 	31 	26 	31.0 	 + 41	308 	 + 66	0 	9548
112/04/07	514 彰化市場	FH112 小天堂鳥 桔帶紅	30 	27 	21 	20 	22.0 	 - 31	169 	 +383	16 	3718
112/04/07	514 彰化市場	FH114 小天堂鳥 粉紅	21 	21 	21 	21 	21.0 	  -  	23 	  -  	0 	483
112/04/07	514 彰化市場	FH158 紅薑花 	38 	38 	38 	38 	38.0 	    0	18 	 - 10	0 	684
112/04/07	514 彰化市場	FH251 秀線 	58 	56 	39 	16 	38.0 	 - 42	360 	 +200	0 	13680
112/04/07	514 彰化市場	FH293 向日葵 單瓣	72 	70 	60 	42 	58.0 	 + 49	232 	 - 19	0 	13456
112/04/07	514 彰化市場	FH331 雞冠花 清紅	21 	21 	21 	21 	21.0 	 - 58	19 	 - 68	0 	399
112/04/07	514 彰化市場	FH341 火焰雞冠花 紅	22 	22 	21 	20 	21.0 	 - 66	30 	 - 33	0 	630
112/04/07	514 彰化市場	FH361 金魚草 紅色	16 	16 	16 	16 	16.0 	 -  6	21 	 - 50	0 	336
112/04/07	514 彰化市場	FH364 金魚草 粉色	30 	30 	23 	16 	23.0 	 + 15	101 	 + 26	0 	2323
112/04/07	514 彰化市場	FH366 金魚草 白色	26 	25 	18 	16 	19.0 	 +  6	137 	 +552	0 	2603
112/04/07	514 彰化市場	FH375 大飛燕草 	36 	36 	32 	22 	31.0 	  -  	73 	  -  	0 	2263
112/04/07	514 彰化市場	FH381 麒麟草 	63 	58 	43 	33 	44.0 	 +  5	971 	 - 27	0 	42724
112/04/07	514 彰化市場	FH631 海芋 紅	24 	24 	19 	15 	19.0 	  -  	41 	  -  	0 	779
112/04/07	514 彰化市場	FH634 海芋 粉	43 	43 	43 	43 	43.0 	  -  	20 	  -  	0 	860
112/04/07	514 彰化市場	FH636 海芋 白	70 	70 	70 	70 	70.0 	  -  	18 	  -  	0 	1260
112/04/07	514 彰化市場	FH640 睡蓮 	30 	30 	30 	30 	30.0 	 - 46	37 	 - 39	0 	1110
112/04/07	514 彰化市場	FH661 伯利恆之星 	36 	31 	26 	22 	26.0 	 + 30	182 	 + 23	0 	4732
112/04/07	514 彰化市場	FH670 茉莉花 	26 	26 	26 	26 	26.0 	 + 63	30 	 - 68	0 	780
112/04/07	514 彰化市場	FL129 LA百合 橙多朵	123 	123 	110 	93 	109.0 	  -  	64 	  -  	0 	6976
112/04/07	514 彰化市場	FM141 重瓣百合 伊莎貝拉單朵	131 	131 	120 	102 	119.0 	  -  	62 	  -  	0 	7378
112/04/07	514 彰化市場	FM142 重瓣百合 伊莎貝拉雙朵	124 	124 	122 	121 	122.0 	  -  	70 	  -  	0 	8540
112/04/07	514 彰化市場	FM143 重瓣百合 伊莎貝拉三朵	169 	169 	162 	152 	162.0 	  -  	80 	  -  	0 	12960
112/04/07	514 彰化市場	FM149 重瓣百合 伊莎貝拉多朵	170 	170 	170 	170 	170.0 	  -  	24 	  -  	0 	4080
112/04/07	514 彰化市場	FM219 重瓣百合 艾蓮娜多朵	312 	312 	303 	293 	303.0 	 + 20	14 	 +100	0 	4242
112/04/07	514 彰化市場	FM280 重瓣百合 莎曼莎	133 	133 	133 	133 	133.0 	 + 15	11 	 + 22	0 	1463
112/04/07	514 彰化市場	FM282 重瓣百合 莎曼莎雙朵	173 	173 	173 	173 	173.0 	 +  7	10 	 - 50	0 	1730
112/04/07	514 彰化市場	FM283 重瓣百合 莎曼莎三朵	229 	229 	196 	168 	197.0 	 +  4	17 	 - 29	0 	3349
112/04/07	514 彰化市場	FO003 腎藥蘭 曼谷火焰	19 	19 	12 	5 	12.0 	 - 14	290 	 + 38	0 	3480
112/04/07	514 彰化市場	FO007 千代蘭 	16 	12 	6 	5 	7.0 	 + 17	750 	 +  7	140 	5250
112/04/07	514 彰化市場	FO009 萬代蘭 	20 	20 	15 	12 	16.0 	  -  	90 	  -  	0 	1440
112/04/07	514 彰化市場	FO014 樹蘭 	5 	5 	5 	5 	5.0 	  -  	160 	  -  	0 	800
112/04/07	514 彰化市場	FO022 萬代蘭 巨輪橙	13 	13 	10 	8 	10.0 	  -  	60 	  -  	0 	600
112/04/07	514 彰化市場	FO024 萬代蘭 巨輪粉	8 	8 	7 	6 	7.0 	  -  	91 	  -  	0 	637
112/04/07	514 彰化市場	FO213 虎頭蘭 大輪黃	50 	50 	50 	50 	50.0 	  -  	13 	  -  	0 	650
112/04/07	514 彰化市場	FO214 虎頭蘭 大輪粉	31 	31 	28 	23 	27.0 	  -  	48 	  -  	0 	1296
112/04/07	514 彰化市場	FO335 檸檬綠文心蘭 	142 	139 	108 	81 	109.0 	 + 16	596 	 + 70	0 	64964
112/04/07	514 彰化市場	FO336 文心蘭 太陽之子	83 	83 	83 	83 	83.0 	  -  	20 	  -  	0 	1660
112/04/07	514 彰化市場	FR000 玫瑰 	107 	105 	95 	64 	91.0 	  -  	147 	  -  	0 	13377
112/04/07	514 彰化市場	FR100 玫瑰 紅	180 	180 	180 	180 	180.0 	  -  	3 	  -  	0 	540
112/04/07	514 彰化市場	FR116 玫瑰 翡翠紅	205 	203 	171 	132 	170.0 	 + 21	37 	 + 54	0 	6290
112/04/07	514 彰化市場	FR117 玫瑰 萬年紅	136 	131 	100 	52 	97.0 	 + 35	213 	 + 61	0 	20661
112/04/07	514 彰化市場	FR122 玫瑰 卡門	110 	110 	104 	82 	101.0 	 + 13	21 	 - 13	0 	2121
112/04/07	514 彰化市場	FR209 玫瑰 夏布莉	220 	220 	207 	183 	205.0 	 -  5	16 	 - 11	0 	3280
112/04/07	514 彰化市場	FR300 玫瑰 黃	200 	200 	200 	200 	200.0 	  -  	5 	  -  	0 	1000
112/04/07	514 彰化市場	FR400 玫瑰 粉	180 	180 	166 	152 	166.0 	 + 37	20 	 - 13	0 	3320
112/04/07	514 彰化市場	FR408 玫瑰 黛安娜粉	178 	176 	130 	88 	131.0 	 + 27	195 	 +282	0 	25545
112/04/07	514 彰化市場	FR436 玫瑰 翡翠粉	175 	168 	130 	60 	124.0 	 + 28	127 	 +297	0 	15748
112/04/07	514 彰化市場	FR439 玫瑰 翡翠香檳	211 	198 	146 	89 	145.0 	 + 23	79 	 +163	0 	11455
112/04/07	514 彰化市場	FR455 玫瑰 翡翠珍珠	230 	230 	230 	230 	230.0 	  -  	5 	  -  	0 	1150
112/04/07	514 彰化市場	FR600 玫瑰 白	138 	138 	138 	138 	138.0 	  -  	4 	  -  	0 	552
112/04/07	514 彰化市場	FR607 玫瑰 翡翠白	180 	158 	92 	33 	93.0 	 -  1	102 	 + 32	0 	9486
112/04/07	514 彰化市場	FR705 玫瑰 紫天王	202 	202 	180 	157 	180.0 	  -  	8 	  -  	0 	1440
112/04/07	514 彰化市場	FR711 玫瑰 天堂紫	263 	263 	204 	164 	208.0 	 -  2	21 	 + 50	0 	4368
112/04/07	514 彰化市場	FR712 玫瑰 拿鐵	223 	223 	213 	203 	213.0 	  -  	8 	  -  	0 	1704
112/04/07	514 彰化市場	FR816 玫瑰 愛麗絲	129 	129 	110 	91 	110.0 	 + 49	10 	 +100	0 	1100
112/04/07	514 彰化市場	FR817 玫瑰 布魯士	203 	203 	183 	132 	176.0 	 -  2	13 	 - 24	0 	2288
112/04/07	514 彰化市場	FS012 香水百合 紅雙朵	172 	172 	172 	172 	172.0 	 - 15	14 	 - 50	0 	2408
112/04/07	514 彰化市場	FS013 香水百合 紅三朵	283 	283 	283 	283 	283.0 	 + 15	36 	 - 22	0 	10188
112/04/07	514 彰化市場	FS019 香水百合 紅多朵	345 	345 	326 	282 	321.0 	 + 15	47 	 + 47	0 	15087
112/04/07	514 彰化市場	FS039 香水百合 黃多朵	179 	179 	177 	177 	177.0 	 +  5	62 	 +244	0 	10974
112/04/07	514 彰化市場	FS060 香水百合 白	186 	186 	186 	186 	186.0 	  -  	10 	  -  	0 	1860
112/04/07	514 彰化市場	FS061 香水百合 白單朵	200 	200 	200 	200 	200.0 	  -  	7 	  -  	0 	1400
112/04/07	514 彰化市場	FS062 香水百合 白雙朵	213 	213 	203 	152 	194.0 	  -  	49 	  -  	0 	9506
112/04/07	514 彰化市場	FS063 香水百合 白三朵	273 	273 	264 	250 	263.0 	 + 72	68 	 + 62	0 	17884
112/04/07	514 彰化市場	FS069 香水百合 白多朵	291 	291 	277 	207 	266.0 	 + 48	75 	 + 79	0 	19950
112/04/07	514 彰化市場	FS470 水晶香水 	172 	172 	172 	172 	172.0 	  -  	13 	  -  	0 	2236
112/04/07	514 彰化市場	FS472 水晶香水 雙朵	162 	162 	162 	162 	162.0 	 - 21	16 	    0	0 	2592
112/04/07	514 彰化市場	FS473 水晶香水 三朵	232 	232 	215 	198 	215.0 	 -  0	20 	 - 39	0 	4300
112/04/07	514 彰化市場	FS479 水晶香水 多朵	221 	221 	204 	199 	206.0 	 -  5	106 	 + 71	0 	21836
112/04/07	514 彰化市場	FS603 OT康卡多 三朵	153 	153 	153 	153 	153.0 	 + 25	11 	 -  8	0 	1683
112/04/07	514 彰化市場	FS609 OT康卡多 多朵	180 	178 	170 	145 	167.0 	 + 17	50 	    0	0 	8350
112/04/07	514 彰化市場	FS630 OT曼尼薩 	159 	159 	152 	145 	152.0 	 +  6	37 	 + 42	0 	5624
112/04/07	514 彰化市場	FS631 OT曼尼薩 單朵	190 	177 	118 	62 	119.0 	 -  8	344 	 +122	0 	40936
112/04/07	514 彰化市場	FS632 OT曼尼薩 雙朵	212 	194 	137 	89 	139.0 	 + 10	636 	 +149	0 	88404
112/04/07	514 彰化市場	FS633 OT曼尼薩 三朵	315 	300 	205 	81 	199.0 	 -  2	363 	 + 53	0 	72237
112/04/07	514 彰化市場	FS639 OT曼尼薩 多朵	353 	338 	237 	112 	232.0 	 - 11	63 	    0	0 	14616
112/04/07	514 彰化市場	FS772 OT百合 節奏舞者二朵	164 	164 	158 	152 	158.0 	 - 10	29 	 + 81	0 	4582
112/04/07	514 彰化市場	FS773 OT百合 節奏舞者三朵	221 	220 	204 	189 	204.0 	 - 12	111 	 +158	0 	22644
112/04/07	514 彰化市場	FS779 OT百合 節奏舞者多朵	250 	241 	220 	199 	220.0 	 -  9	537 	 + 14	0 	118140
112/04/07	514 彰化市場	FS859 OT瑪丹娜 多朵	153 	153 	153 	153 	153.0 	 - 36	30 	 - 78	0 	4590
112/04/07	514 彰化市場	FS871 OT大連 單朵	162 	158 	107 	72 	110.0 	  -  	91 	  -  	0 	10010
112/04/07	514 彰化市場	FS872 OT大連 雙朵	221 	221 	161 	107 	162.0 	 - 12	99 	 +106	0 	16038
112/04/07	514 彰化市場	FS873 OT大連 三朵	283 	283 	210 	153 	213.0 	 - 23	36 	    0	0 	7668
112/04/07	514 彰化市場	FS879 OT大連 多朵	289 	277 	233 	216 	239.0 	 -  8	190 	 +144	0 	45410
112/04/07	514 彰化市場	FS891 OT帕雷諾 單朵	189 	189 	186 	182 	186.0 	 + 14	18 	 - 25	0 	3348
112/04/07	514 彰化市場	FS892 OT帕雷諾 雙朵	200 	200 	191 	182 	191.0 	 + 44	26 	 + 86	0 	4966
112/04/07	514 彰化市場	FS893 OT帕雷諾 三朵	265 	265 	265 	265 	265.0 	  -  	24 	  -  	0 	6360
112/04/07	514 彰化市場	FS899 OT帕雷諾 多朵	273 	273 	273 	273 	273.0 	  -  	8 	  -  	0 	2184
112/04/07	514 彰化市場	FS921 OT帕芳多 單朵	57 	57 	57 	57 	57.0 	  -  	40 	  -  	0 	2280
112/04/07	514 彰化市場	FS922 OT帕芳多 雙朵	114 	114 	106 	97 	106.0 	  -  	30 	  -  	0 	3180
112/04/07	514 彰化市場	FS969 OT試金石 多朵	300 	300 	284 	272 	285.0 	  -  	22 	  -  	0 	6270
112/04/07	514 彰化市場	FS970 OT紅福特 	158 	158 	150 	143 	150.0 	 + 12	21 	 +  5	0 	3150
112/04/07	514 彰化市場	FS971 OT紅福特 單朵	60 	60 	60 	60 	60.0 	  -  	18 	  -  	0 	1080
112/04/07	514 彰化市場	FS972 OT紅福特 雙朵	103 	103 	103 	103 	103.0 	 - 32	30 	 - 25	0 	3090
112/04/07	514 彰化市場	FS973 OT紅福特 三朵	250 	250 	193 	134 	193.0 	 - 13	42 	 - 32	0 	8106
112/04/07	514 彰化市場	FS979 OT紅福特 多朵	301 	283 	226 	175 	227.0 	 -  6	214 	 - 45	0 	48578
112/04/07	514 彰化市場	FS982 OT百合 美麗果雙朵	133 	133 	120 	112 	121.0 	 -  8	32 	 - 60	0 	3872
112/04/07	514 彰化市場	FT061 鐵砲百合 白單朵	102 	102 	102 	102 	102.0 	 +  6	26 	 - 24	0 	2652
112/04/07	514 彰化市場	FT062 鐵砲百合 白雙朵	102 	102 	92 	87 	93.0 	 - 24	52 	 +  8	0 	4836
112/04/07	514 彰化市場	FT063 鐵砲百合 白三朵	119 	119 	110 	105 	111.0 	 +  5	62 	 +313	0 	6882
112/04/07	514 彰化市場	FU000 洋桔梗 	49 	49 	38 	15 	35.0 	 - 40	40 	 +135	0 	1400
112/04/07	514 彰化市場	FU402 洋桔梗 雙瓣(混色)	186 	167 	97 	27 	97.0 	 + 49	93 	    0	0 	9021
112/04/07	514 彰化市場	FU421 洋桔梗 小夏橘	188 	181 	118 	82 	123.0 	  -  	50 	  -  	0 	6150
112/04/07	514 彰化市場	FU432 洋桔梗 雙瓣黃	50 	50 	50 	50 	50.0 	  -  	13 	  -  	0 	650
112/04/07	514 彰化市場	FU441 洋桔梗 順風粉	139 	139 	115 	78 	112.0 	 +273	50 	 + 67	0 	5600
112/04/07	514 彰化市場	FU442 洋桔梗 雙瓣粉	183 	149 	78 	39 	84.0 	 - 13	127 	 +999	0 	10668
112/04/07	514 彰化市場	FU445 洋桔梗 可羅淺粉	142 	142 	142 	142 	142.0 	  -  	8 	  -  	0 	1136
112/04/07	514 彰化市場	FU449 洋桔梗 艾瑞娜彩粉	210 	210 	172 	97 	164.0 	 +  5	24 	 + 60	0 	3936
112/04/07	514 彰化市場	FU451 洋桔梗 順風杏粉	121 	121 	121 	121 	121.0 	  -  	6 	  -  	0 	726
112/04/07	514 彰化市場	FU457 洋桔梗 順風綠	172 	172 	135 	124 	140.0 	 +  2	37 	 + 42	0 	5180
112/04/07	514 彰化市場	FU462 洋桔梗 雙瓣白	202 	202 	158 	63 	148.0 	 +469	56 	 +133	0 	8288
112/04/07	514 彰化市場	FU465 洋桔梗 名人華麗白	161 	161 	161 	160 	161.0 	 + 68	26 	 +  8	0 	4186
112/04/07	514 彰化市場	FU471 洋桔梗 重瓣淺紫	81 	81 	78 	75 	78.0 	 - 24	24 	 + 20	0 	1872
112/04/07	514 彰化市場	FU472 洋桔梗 重瓣紫	82 	70 	43 	28 	45.0 	 - 38	70 	 + 21	0 	3150
112/04/07	514 彰化市場	FU480 洋桔梗 順風紫	170 	166 	104 	58 	107.0 	 + 49	57 	 - 28	0 	6099
112/04/07	514 彰化市場	FU482 洋桔梗 拉弗爾酒彩	165 	165 	165 	165 	165.0 	  -  	8 	  -  	0 	1320
112/04/07	514 彰化市場	FU562 洋桔梗 珍妮白	196 	196 	183 	164 	182.0 	  -  	50 	  -  	0 	9100
112/04/07	514 彰化市場	FU572 洋桔梗 雙瓣白紫邊	190 	190 	190 	190 	190.0 	  -  	9 	  -  	0 	1710
112/04/07	514 彰化市場	FU641 洋桔梗 女王３彩粉	178 	178 	139 	47 	129.0 	 +  2	56 	 + 51	0 	7224
112/04/07	514 彰化市場	FW100 星辰花 混色	38 	38 	33 	28 	33.0 	 -  8	65 	 +  7	0 	2145
112/04/07	514 彰化市場	FW141 星辰花 大湖魅力	42 	42 	42 	42 	42.0 	 - 11	17 	 - 15	0 	714
112/04/07	514 彰化市場	FW160 星辰花 白	32 	32 	32 	32 	32.0 	 - 51	40 	    0	0 	1280
112/04/07	514 彰化市場	FW161 星辰花 天使	51 	51 	51 	51 	51.0 	  -  	25 	  -  	0 	1275
112/04/07	514 彰化市場	FW170 星辰花 紫	43 	43 	43 	43 	43.0 	 +  8	20 	 - 77	0 	860
112/04/07	514 彰化市場	FW171 貝麗星辰 	53 	53 	53 	53 	53.0 	 + 33	40 	 +100	0 	2120
112/04/07	514 彰化市場	FW240 粉孔雀 	46 	46 	42 	18 	38.0 	  -  	227 	  -  	0 	8626
112/04/07	514 彰化市場	FW471 卡斯比亞 帶葉	67 	67 	67 	67 	67.0 	 -  3	75 	 + 50	0 	5025
112/04/07	514 彰化市場	FW472 卡斯比亞 無葉	48 	48 	45 	35 	44.0 	 + 10	150 	 + 61	0 	6600
112/04/07	514 彰化市場	FW560 滿天星 白	62 	62 	53 	41 	53.0 	 + 96	119 	 +183	0 	6307
112/04/07	514 彰化市場	FW562 滿天星 雪子	61 	61 	61 	61 	61.0 	 + 13	20 	 + 25	0 	1220
112/04/07	514 彰化市場	FW568 滿天星 銀河	52 	52 	52 	52 	52.0 	 + 33	20 	 - 50	0 	1040
112/04/07	514 彰化市場	FW580 滿天星 染色	38 	38 	38 	38 	38.0 	 - 25	96 	    0	0 	3648
112/04/07	514 彰化市場	FW600 水晶花 混合	60 	60 	58 	52 	57.0 	 -  3	60 	 + 50	0 	3420
112/04/07	514 彰化市場	FY000 切葉類 	32 	32 	32 	32 	32.0 	 +220	25 	 +317	0 	800
112/04/07	514 彰化市場	FY001 尤加利葉 	36 	36 	36 	36 	36.0 	  -  	40 	  -  	0 	1440
112/04/07	514 彰化市場	FY003 唐棉 	43 	43 	38 	33 	38.0 	 - 34	38 	 + 19	0 	1444
112/04/07	514 彰化市場	FY004 黃椰心葉 	151 	145 	103 	65 	104.0 	 + 18	"1,033 "	 +  8	0 	107432
112/04/07	514 彰化市場	FY009 電信蘭葉 	135 	130 	110 	73 	107.0 	 -  5	985 	 + 99	0 	105395
112/04/07	514 彰化市場	FY017 八角金盤 	69 	69 	69 	69 	69.0 	 + 38	50 	 - 77	0 	3450
112/04/07	514 彰化市場	FY021 扁柏 	50 	50 	50 	50 	50.0 	 - 28	72 	    0	0 	3600
112/04/07	514 彰化市場	FY027 虎斑木葉 	0 	0 	0 	0 	0.0 	  -  	0 	  -  	50 	0
112/04/07	514 彰化市場	FY028 高梁 	19 	19 	19 	19 	19.0 	  -  	22 	  -  	0 	418
112/04/07	514 彰化市場	FY052 麻葉繡球<小手球> 	54 	54 	53 	52 	53.0 	 + 26	100 	    0	0 	5300
112/04/07	514 彰化市場	FY057 百合竹 	32 	32 	28 	19 	27.0 	 +  4	"1,508 "	 + 23	0 	40716
112/04/07	514 彰化市場	FY080 青蘋果 	14 	14 	14 	14 	14.0 	  -  	22 	  -  	0 	308
112/04/07	514 彰化市場	FY084 火龍果 	89 	89 	83 	82 	84.0 	 +  6	61 	 +103	0 	5124
112/04/07	514 彰化市場	FY093 水燭葉 	20 	18 	11 	10 	12.0 	    0	837 	 + 51	70 	10044
112/04/07	514 彰化市場	FY991 青竹 	224 	224 	198 	180 	200.0 	 +285	18 	 + 50	0 	3600
112/04/07	514 彰化市場	FY993 白竹 	130 	112 	92 	76 	93.0 	 +  7	727 	 +  6	0 	67611
112/04/07	514 彰化市場	FY996 蓮花竹 	20 	20 	20 	20 	20.0 	  -  	53 	  -  	0 	1060
112/04/07	514 彰化市場	IA001 進口康乃馨 混合色	125 	125 	125 	125 	125.0 	  -  	60 	  -  	0 	7500
112/04/07	514 彰化市場	IH465 繡球花 綠	69 	69 	62 	53 	62.0 	 +182	65 	 +225	0 	4030
112/04/07	514 彰化市場	IH466 繡球花 白	61 	61 	61 	61 	61.0 	 + 42	120 	 +167	0 	7320
112/04/07	514 彰化市場	IH467 繡球花 藍	53 	53 	53 	53 	53.0 	 + 47	20 	 - 39	0 	1060
112/04/07	514 彰化市場	IO519 進口石斛蘭 深紅	180 	174 	151 	136 	153.0 	 - 15	314 	 +145	0 	48042
112/04/08	514 彰化市場	FA800 康乃馨 多朵(混色)	31 	26 	18 	15 	19.0 	 - 10	498 	 - 15	0 	9462
112/04/08	514 彰化市場	FA810 康乃馨 多朵紅	18 	18 	17 	15 	17.0 	 -  6	64 	 - 55	0 	1088
112/04/08	514 彰化市場	FA840 康乃馨 多朵粉	35 	35 	35 	35 	35.0 	 -  3	30 	    0	0 	1050
112/04/08	514 彰化市場	FA990 繡球撫子 紫白	59 	59 	59 	59 	59.0 	 -  2	29 	 +142	0 	1711
112/04/08	514 彰化市場	FB103 火鶴花 紅青心	17 	17 	16 	15 	16.0 	 +100	228 	 +153	0 	3648
112/04/08	514 彰化市場	FB111 火鶴花 月光	14 	14 	9 	5 	9.0 	 - 31	78 	 - 70	0 	702
112/04/08	514 彰化市場	FB113 火鶴花 紅鈴	17 	15 	10 	6 	10.0 	 - 17	354 	 - 59	0 	3540
112/04/08	514 彰化市場	FB302 火鶴花 黃瑪莉	18 	18 	18 	18 	18.0 	  -  	60 	  -  	0 	1080
112/04/08	514 彰化市場	FB400 火鶴花 粉色	8 	8 	6 	5 	6.0 	 - 33	237 	 - 23	0 	1422
112/04/08	514 彰化市場	FB407 火鶴花 夢幻	17 	17 	14 	10 	14.0 	    0	477 	 - 65	0 	6678
112/04/08	514 彰化市場	FB415 火鶴花 羅莎	18 	17 	14 	7 	13.0 	    0	790 	 - 42	0 	10270
112/04/08	514 彰化市場	FC001 大菊 混合色	69 	69 	69 	69 	69.0 	  -  	40 	  -  	0 	2760
112/04/08	514 彰化市場	FC200 大菊 金	18 	18 	18 	18 	18.0 	 - 25	50 	 - 78	0 	900
112/04/08	514 彰化市場	FC206 大菊 金嗓	40 	40 	32 	15 	30.0 	 - 32	130 	    0	0 	3900
112/04/08	514 彰化市場	FC208 大菊 煙火桔	60 	60 	60 	60 	60.0 	 -  9	80 	 + 67	0 	4800
112/04/08	514 彰化市場	FC301 大菊 黃秀鳳	71 	71 	71 	71 	71.0 	    0	50 	 - 41	0 	3550
112/04/08	514 彰化市場	FC350 大菊 黃乒乓	63 	63 	45 	35 	47.0 	 - 16	66 	 - 54	0 	3102
112/04/08	514 彰化市場	FC502 大菊 安娜深綠	76 	69 	52 	38 	53.0 	 - 33	114 	 +185	0 	6042
112/04/08	514 彰化市場	FC600 大菊 白	69 	69 	69 	69 	69.0 	 -  1	20 	 - 67	0 	1380
112/04/08	514 彰化市場	FC608 大菊 白乒乓	62 	62 	62 	62 	62.0 	 +  9	20 	 - 50	0 	1240
112/04/08	514 彰化市場	FC609 大菊 白東洋	48 	42 	32 	18 	31.0 	 - 18	"2,391 "	 - 26	0 	74121
112/04/08	514 彰化市場	FC800 大菊 染色大菊	70 	68 	32 	15 	36.0 	 - 44	433 	 - 22	0 	15588
112/04/08	514 彰化市場	FC801 染大菊 國王	80 	80 	80 	80 	80.0 	 +  5	50 	 - 38	0 	4000
112/04/08	514 彰化市場	FC802 染大菊 芭迪卡	95 	93 	87 	74 	86.0 	 -  5	240 	 - 19	0 	20640
112/04/08	514 彰化市場	FC805 染大菊 白東洋	31 	28 	22 	18 	22.0 	 - 21	428 	 - 40	28 	9416
112/04/08	514 彰化市場	FC807 染大菊 梅西	90 	90 	90 	90 	90.0 	 + 11	46 	 - 36	0 	4140
112/04/08	514 彰化市場	FD000 小菊 	25 	25 	25 	25 	25.0 	  -  	30 	  -  	0 	750
112/04/08	514 彰化市場	FD001 小菊 混合色	37 	37 	30 	23 	30.0 	 - 14	100 	 - 59	0 	3000
112/04/08	514 彰化市場	FD113 小菊 日本小紅	25 	25 	25 	23 	24.0 	 - 47	90 	 - 73	0 	2160
112/04/08	514 彰化市場	FD124 小菊 龍鳳紫	30 	30 	29 	28 	29.0 	 + 71	100 	 +150	0 	2900
112/04/08	514 彰化市場	FD125 小菊 大一點紅	40 	40 	40 	40 	40.0 	 - 11	24 	 - 56	0 	960
112/04/08	514 彰化市場	FD136 小菊 法國小紅	55 	52 	26 	21 	30.0 	 - 36	714 	 - 29	0 	21420
112/04/08	514 彰化市場	FD150 小菊 紅風車	33 	33 	31 	23 	30.0 	 - 41	60 	 - 55	0 	1800
112/04/08	514 彰化市場	FD200 小菊 金	43 	43 	43 	43 	43.0 	 +  5	20 	 - 93	0 	860
112/04/08	514 彰化市場	FD300 小菊 黃	32 	32 	32 	17 	29.0 	 -  6	155 	 - 68	0 	4495
112/04/08	514 彰化市場	FD309 小菊 日本黃	48 	48 	48 	48 	48.0 	  -  	60 	  -  	0 	2880
112/04/08	514 彰化市場	FD350 小菊 黃風車	32 	31 	24 	24 	25.0 	 - 17	151 	 - 70	0 	3775
112/04/08	514 彰化市場	FD400 小菊 粉	32 	32 	30 	20 	28.0 	 - 30	166 	 - 28	0 	4648
112/04/08	514 彰化市場	FD404 小菊 花花世界	44 	44 	44 	44 	44.0 	  -  	25 	  -  	0 	1100
112/04/08	514 彰化市場	FD431 小菊 桃紅雲南菊	45 	45 	45 	45 	45.0 	  -  	18 	  -  	0 	810
112/04/08	514 彰化市場	FD453 小菊 棒棒糖-粉	40 	40 	32 	16 	31.0 	 - 16	175 	 - 30	0 	5425
112/04/08	514 彰化市場	FD457 小菊 西維亞粉	91 	84 	74 	45 	70.0 	 - 10	"1,083 "	 - 10	0 	75810
112/04/08	514 彰化市場	FD500 小菊 綠	37 	37 	30 	22 	30.0 	 -  9	57 	 + 43	0 	1710
112/04/08	514 彰化市場	FD600 小菊 白	59 	55 	31 	17 	33.0 	 - 44	"1,534 "	 + 11	0 	50622
112/04/08	514 彰化市場	FD657 小菊 西維亞白	57 	57 	47 	30 	45.0 	 - 38	160 	 +700	0 	7200
112/04/08	514 彰化市場	FD802 染小菊 白鑽石	47 	43 	38 	24 	36.0 	 - 28	695 	 - 39	0 	25020
112/04/08	514 彰化市場	FE001 非洲菊 混合色	34 	30 	24 	17 	24.0 	 - 33	"1,530 "	 - 15	0 	36720
