日　　期	市　　場	產　　品	上價	中價	下價	平均價(元/公斤)	增減%	交易量(公斤)	增減%	
111/06/23	800 高雄市	N6 李 泰安李 	80.0 	73.0 	70.0 	73.8 	 +  3	456 	 +130	33652.8
111/06/23	800 高雄市	O4 梨 新興梨 	93.5 	75.5 	60.7 	76.1 	 + 41	"1,134 "	 - 35	86297.4
111/06/23	800 高雄市	O5 梨 豐水梨 	150.0 	114.7 	50.4 	108.9 	 -  3	478 	 - 68	52054.2
111/06/23	800 高雄市	O99 梨 西洋梨進口 	180.0 	180.0 	180.0 	180.0 	 - 10	10 	    0	1800
111/06/23	800 高雄市	P1 番石榴 珍珠芭 	50.0 	43.4 	22.3 	40.5 	 - 23	"1,170 "	 - 51	47385
111/06/23	800 高雄市	Q2 蓮霧 子彈型 	50.0 	34.4 	30.0 	36.7 	  -  	216 	  -  	7927.2
111/06/23	800 高雄市	R0 芒果 其他 	35.0 	31.7 	22.0 	30.4 	 - 14	452 	 + 93	13740.8
111/06/23	800 高雄市	R1 芒果 愛文 	106.1 	62.2 	40.0 	66.5 	 - 30	"2,130 "	 + 25	141645
111/06/23	800 高雄市	R10 芒果 西施 	50.0 	50.0 	50.0 	50.0 	  -  	340 	  -  	17000
111/06/23	800 高雄市	R2 芒果 玉文 	70.0 	70.0 	70.0 	70.0 	 -  7	180 	 - 70	12600
111/06/23	800 高雄市	R3 芒果 本島 	100.0 	62.1 	60.0 	69.2 	 - 44	156 	 - 56	10795.2
111/06/23	800 高雄市	R5 芒果 黑香金興 	60.0 	60.0 	60.0 	60.0 	    0	36 	 + 50	2160
111/06/23	800 高雄市	R6 芒果 金煌 	61.3 	39.2 	30.0 	41.7 	 - 23	"2,388 "	 - 29	99579.6
111/06/23	800 高雄市	S1 葡萄 巨峰 	114.0 	84.3 	64.4 	86.3 	 -  5	642 	 +  4	55404.6
111/06/23	800 高雄市	S9 葡萄 進口 	230.4 	117.3 	92.6 	135.0 	 + 23	675 	 - 46	91125
111/06/23	800 高雄市	T1 西瓜 大西瓜 	34.6 	25.9 	20.0 	26.4 	 +  2	"18,280 "	 + 81	482592
111/06/23	800 高雄市	T5 西瓜 黃肉 	30.0 	22.9 	20.0 	23.8 	 -  4	720 	 - 57	17136
111/06/23	800 高雄市	V1 甜瓜 美濃 	70.0 	38.9 	30.0 	43.3 	 - 13	480 	 + 20	20784
111/06/23	800 高雄市	X69 蘋果 富士進口 	107.4 	67.2 	60.9 	74.0 	 -  2	"10,878 "	 - 12	804972
111/06/23	800 高雄市	Y0 桃子 其他 	60.0 	50.5 	50.0 	52.3 	 - 13	264 	 +  2	13807.2
111/06/23	800 高雄市	Y2 桃子 鶯歌桃 	90.0 	84.1 	80.0 	84.5 	 +  4	606 	 - 32	51207
111/06/23	800 高雄市	Y9 桃子 進口 	397.3 	359.1 	311.9 	357.3 	 +  1	"1,240 "	 - 11	443052
111/06/24	800 高雄市	469 藍莓 進口 	525.0 	525.0 	525.0 	525.0 	 - 19	4 	    0	2100
111/06/24	800 高雄市	51 百香果 改良種 	81.7 	52.2 	37.9 	55.2 	 -  1	"1,453 "	 + 11	80205.6
111/06/24	800 高雄市	72 小番茄 聖女 	77.5 	68.3 	60.0 	68.5 	 +  1	"1,282 "	 + 50	87817
111/06/24	800 高雄市	811 火龍果 白肉 	66.7 	45.8 	35.4 	47.9 	 -  4	169 	 +999	8095.1
111/06/24	800 高雄市	812 火龍果 紅肉 	71.4 	46.7 	40.0 	50.3 	 + 27	"1,470 "	 - 32	73941
111/06/24	800 高雄市	839 櫻桃 進口 	759.6 	680.9 	587.0 	677.8 	 -  6	230 	 -  6	155894
111/06/24	800 高雄市	859 榴槤 進口 	150.0 	150.0 	150.0 	150.0 	 +  9	600 	 - 47	90000
111/06/24	800 高雄市	91 其他  	40.0 	40.0 	40.0 	40.0 	  -  	285 	  -  	11400
111/06/24	800 高雄市	A1 香蕉  	50.0 	38.5 	30.0 	39.1 	 +  2	"1,550 "	 - 22	60605
111/06/24	800 高雄市	A2 香蕉 芭蕉紅芭蕉 	50.0 	46.5 	30.0 	43.9 	 -  4	980 	 +255	43022
111/06/24	800 高雄市	B2 鳳梨 金鑽鳳梨 	31.3 	21.8 	20.0 	23.3 	 -  5	"3,985 "	 - 30	92850.5
111/06/24	800 高雄市	C9 椪柑 進口 	130.0 	130.0 	130.0 	130.0 	 +  1	200 	 - 17	26000
111/06/24	800 高雄市	E9 甜橙 進口 	77.3 	72.2 	61.1 	71.0 	 -  3	"2,250 "	 + 67	159750
111/06/24	800 高雄市	F1 雜柑 檸檬 	50.0 	43.2 	40.0 	43.9 	 +  1	380 	 - 59	16682
111/06/24	800 高雄市	F4 雜柑 桔子 	65.0 	65.0 	65.0 	65.0 	 +  2	40 	 - 50	2600
111/06/24	800 高雄市	F5 雜柑 無子檸檬 	27.8 	24.1 	22.2 	24.4 	 - 19	90 	 - 29	2196
111/06/24	800 高雄市	G3 酪梨  	92.0 	79.5 	60.3 	78.1 	 -  1	585 	 - 77	45688.5
111/06/24	800 高雄市	G49 奇異果 進口 	200.0 	180.3 	119.6 	172.1 	 + 15	846 	 + 13	145596.6
111/06/24	800 高雄市	G9 波蘿蜜  	25.0 	25.0 	25.0 	25.0 	  -  	60 	  -  	1500
111/06/24	800 高雄市	H49 葡萄柚 紅肉進口 	46.9 	39.1 	38.9 	40.6 	 +  1	918 	 -  4	37270.8
111/06/24	800 高雄市	I1 木瓜 網室紅肉 	39.8 	32.5 	29.6 	33.4 	 +  8	"1,150 "	 - 81	38410
111/06/24	800 高雄市	I4 木瓜 青木瓜 	25.0 	25.0 	25.0 	25.0 	    0	280 	 - 84	7000
111/06/24	800 高雄市	J0 荔枝 其他 	60.0 	60.0 	60.0 	60.0 	  -  	24 	  -  	1440
111/06/24	800 高雄市	J2 荔枝 黑葉 	86.4 	60.2 	55.0 	64.4 	 - 22	"1,314 "	 - 19	84621.6
111/06/24	800 高雄市	J4 荔枝 竹葉黑 	80.0 	67.2 	60.0 	68.3 	 +  0	516 	 + 69	35242.8
111/06/24	800 高雄市	N0 李 其他 	105.9 	92.5 	63.1 	89.3 	 -  5	"1,632 "	 +101	145737.6
111/06/24	800 高雄市	N5 李 加州李 	100.0 	99.5 	81.8 	96.0 	 -  2	354 	 - 31	33984
111/06/24	800 高雄市	O4 梨 新興梨 	95.8 	76.2 	63.5 	77.6 	 +  2	688 	 - 39	53388.8
111/06/24	800 高雄市	O5 梨 豐水梨 	150.0 	42.1 	10.0 	57.3 	 - 47	55 	 - 88	3151.5
111/06/24	800 高雄市	O8 梨 4029梨 	50.0 	50.0 	50.0 	50.0 	  -  	240 	  -  	12000
111/06/24	800 高雄市	P1 番石榴 珍珠芭 	50.0 	45.6 	40.0 	45.4 	 + 12	702 	 - 40	31870.8
111/06/24	800 高雄市	Q2 蓮霧 子彈型 	49.2 	29.7 	25.0 	32.7 	 - 11	294 	 + 36	9613.8
111/06/24	800 高雄市	R1 芒果 愛文 	119.0 	67.5 	50.0 	74.3 	 + 12	924 	 - 57	68653.2
111/06/24	800 高雄市	R6 芒果 金煌 	64.7 	45.0 	30.0 	45.9 	 + 10	"2,717 "	 + 14	124710.3
111/06/24	800 高雄市	S1 葡萄 巨峰 	110.0 	83.2 	65.0 	84.9 	 -  2	901 	 + 40	76494.9
111/06/24	800 高雄市	S9 葡萄 進口 	266.7 	123.8 	88.9 	145.4 	 +  8	576 	 - 15	83750.4
111/06/24	800 高雄市	T1 西瓜 大西瓜 	35.0 	27.9 	20.0 	27.8 	 +  5	"5,960 "	 - 67	165688
111/06/24	800 高雄市	T5 西瓜 黃肉 	25.0 	20.7 	20.0 	21.4 	 - 10	"1,050 "	 + 46	22470
111/06/24	800 高雄市	W2 洋香瓜 網狀綠肉 	60.0 	42.2 	30.0 	43.3 	  -  	648 	  -  	28058.4
111/06/24	800 高雄市	X69 蘋果 富士進口 	111.8 	67.1 	62.1 	75.1 	 +  1	"9,976 "	 -  8	749197.6
111/06/24	800 高雄市	Y0 桃子 其他 	80.0 	80.0 	80.0 	80.0 	 + 53	88 	 - 67	7040
111/06/24	800 高雄市	Y1 桃子 水蜜桃 	250.0 	194.3 	160.0 	198.6 	  -  	28 	  -  	5560.8
111/06/24	800 高雄市	Y9 桃子 進口 	446.5 	338.3 	283.3 	349.0 	 -  2	"1,344 "	 +  8	469056
111/06/25	800 高雄市	469 藍莓 進口 	600.0 	600.0 	600.0 	600.0 	 + 14	4 	    0	2400
111/06/25	800 高雄市	51 百香果 改良種 	81.6 	50.5 	29.0 	52.4 	 -  5	"1,587 "	 +  9	83158.8
111/06/25	800 高雄市	72 小番茄 聖女 	80.0 	72.3 	70.0 	73.4 	 +  7	572 	 - 55	41984.8
111/06/25	800 高雄市	811 火龍果 白肉 	58.3 	47.3 	32.0 	46.4 	 -  3	188 	 + 11	8723.2
111/06/25	800 高雄市	812 火龍果 紅肉 	64.8 	37.4 	30.0 	41.4 	 - 18	"3,819 "	 +160	158106.6
111/06/25	800 高雄市	839 櫻桃 進口 	623.6 	595.2 	529.1 	587.6 	 - 13	275 	 + 20	161590
111/06/25	800 高雄市	859 榴槤 進口 	166.7 	156.4 	150.0 	157.1 	 +  5	840 	 + 40	131964
111/06/25	800 高雄市	91 其他  	40.9 	18.4 	12.0 	21.6 	 - 46	"1,359 "	 +377	29354.4
111/06/25	800 高雄市	919 其他 進口 	60.0 	60.0 	60.0 	60.0 	  -  	600 	  -  	36000
111/06/25	800 高雄市	A1 香蕉  	50.0 	36.6 	29.2 	37.8 	 -  3	"2,400 "	 + 55	90720
111/06/25	800 高雄市	A2 香蕉 芭蕉紅芭蕉 	50.0 	39.7 	30.0 	39.8 	 -  9	"1,070 "	 +  9	42586
111/06/25	800 高雄市	B2 鳳梨 金鑽鳳梨 	32.7 	23.5 	20.0 	24.6 	 +  6	"9,550 "	 +140	234930
111/06/25	800 高雄市	C9 椪柑 進口 	130.0 	124.6 	90.0 	118.8 	 -  9	160 	 - 20	19008
111/06/25	800 高雄市	E9 甜橙 進口 	77.8 	70.5 	66.7 	71.2 	 +  0	"1,800 "	 - 20	128160
111/06/25	800 高雄市	F1 雜柑 檸檬 	50.0 	40.0 	30.0 	40.0 	 -  9	700 	 + 84	28000
111/06/25	800 高雄市	F4 雜柑 桔子 	63.1 	52.9 	50.0 	54.4 	 - 16	390 	 +875	21216
111/06/25	800 高雄市	G3 酪梨  	87.8 	75.2 	60.0 	74.7 	 -  4	734 	 + 25	54829.8
111/06/25	800 高雄市	G49 奇異果 進口 	187.1 	161.1 	114.7 	157.1 	 -  9	"1,209 "	 + 43	189933.9
111/06/25	800 高雄市	H49 葡萄柚 紅肉進口 	41.7 	41.2 	38.9 	40.8 	 +  0	828 	 - 10	33782.4
111/06/25	800 高雄市	I1 木瓜 網室紅肉 	39.5 	31.5 	28.6 	32.5 	 -  3	"2,828 "	 +146	91910
111/06/25	800 高雄市	J2 荔枝 黑葉 	80.0 	62.4 	50.0 	63.5 	 -  1	990 	 - 25	62865
111/06/25	800 高雄市	J4 荔枝 竹葉黑 	70.0 	68.8 	60.0 	67.3 	 -  1	198 	 - 62	13325.4
111/06/25	800 高雄市	N0 李 其他 	102.3 	82.4 	60.6 	82.0 	 -  8	"1,394 "	 - 15	114308
111/06/25	800 高雄市	N6 李 泰安李 	80.0 	75.6 	60.0 	73.3 	  -  	540 	  -  	39582
111/06/25	800 高雄市	O10 梨 寶島甘露梨 	81.8 	81.8 	81.8 	81.8 	  -  	22 	  -  	1799.6
111/06/25	800 高雄市	O4 梨 新興梨 	91.7 	72.9 	60.0 	74.1 	 -  5	"1,324 "	 + 92	98108.4
111/06/25	800 高雄市	O5 梨 豐水梨 	50.0 	50.0 	50.0 	50.0 	 - 13	240 	 +336	12000
111/06/25	800 高雄市	O8 梨 4029梨 	50.0 	45.0 	40.0 	45.0 	 - 10	480 	 +100	21600
111/06/25	800 高雄市	O99 梨 西洋梨進口 	180.0 	180.0 	180.0 	180.0 	  -  	10 	  -  	1800
111/06/25	800 高雄市	P1 番石榴 珍珠芭 	46.7 	34.5 	20.0 	34.0 	 - 25	"1,335 "	 + 90	45390
111/06/25	800 高雄市	Q2 蓮霧 子彈型 	50.0 	50.0 	50.0 	50.0 	 + 53	108 	 - 63	5400
111/06/25	800 高雄市	R1 芒果 愛文 	114.2 	62.2 	50.0 	70.2 	 -  6	"2,118 "	 +129	148683.6
111/06/25	800 高雄市	R10 芒果 西施 	70.0 	70.0 	70.0 	70.0 	  -  	54 	  -  	3780
111/06/25	800 高雄市	R2 芒果 玉文 	90.3 	65.8 	55.0 	68.6 	  -  	354 	  -  	24284.4
111/06/25	800 高雄市	R3 芒果 本島 	96.9 	76.6 	70.0 	79.3 	  -  	348 	  -  	27596.4
111/06/25	800 高雄市	R5 芒果 黑香金興 	50.0 	50.0 	50.0 	50.0 	  -  	96 	  -  	4800
111/06/25	800 高雄市	R6 芒果 金煌 	64.0 	39.4 	34.0 	43.2 	 -  6	"3,053 "	 + 12	131889.6
111/06/25	800 高雄市	S1 葡萄 巨峰 	109.4 	76.3 	62.8 	80.2 	 -  6	"1,055 "	 + 17	84611
111/06/25	800 高雄市	S9 葡萄 進口 	195.9 	108.0 	100.0 	123.9 	 - 15	"1,436 "	 +149	177920.4
111/06/25	800 高雄市	T1 西瓜 大西瓜 	33.2 	24.3 	15.0 	24.2 	 - 13	"13,150 "	 +121	318230
111/06/25	800 高雄市	T3 西瓜 黑美人 	25.0 	22.5 	20.0 	22.5 	  -  	360 	  -  	8100
111/06/25	800 高雄市	T5 西瓜 黃肉 	17.0 	17.0 	17.0 	17.0 	 - 21	540 	 - 49	9180
111/06/25	800 高雄市	V1 甜瓜 美濃 	50.0 	43.3 	40.0 	44.0 	  -  	300 	  -  	13200
111/06/25	800 高雄市	W2 洋香瓜 網狀綠肉 	60.0 	41.6 	30.0 	43.0 	 -  1	888 	 + 37	38184
111/06/25	800 高雄市	X69 蘋果 富士進口 	125.7 	68.8 	62.3 	78.9 	 +  5	"11,486 "	 + 15	906245.4
111/06/25	800 高雄市	Y0 桃子 其他 	80.0 	80.0 	80.0 	80.0 	    0	176 	 +100	14080
111/06/25	800 高雄市	Y9 桃子 進口 	392.1 	330.3 	280.5 	332.7 	 -  5	"1,102 "	 - 18	366635.4
111/06/26	800 高雄市	11 椰子  	19.0 	16.0 	13.0 	16.0 	  -  	"6,000 "	  -  	96000
111/06/26	800 高雄市	469 藍莓 進口 	650.0 	650.0 	650.0 	650.0 	 +  8	4 	    0	2600
111/06/26	800 高雄市	51 百香果 改良種 	84.0 	53.7 	36.7 	56.4 	 +  8	"1,364 "	 - 14	76929.6
111/06/26	800 高雄市	72 小番茄 聖女 	75.0 	69.7 	65.0 	69.8 	 -  5	300 	 - 48	20940
111/06/26	800 高雄市	811 火龍果 白肉 	47.6 	38.2 	26.7 	37.8 	 - 19	391 	 +108	14779.8
111/06/26	800 高雄市	812 火龍果 紅肉 	52.7 	31.1 	20.0 	33.2 	 - 20	"4,512 "	 + 18	149798.4
111/06/26	800 高雄市	839 櫻桃 進口 	672.7 	591.0 	518.7 	592.9 	 +  1	282 	 +  3	167197.8
111/06/26	800 高雄市	859 榴槤 進口 	150.0 	126.4 	116.7 	129.2 	 - 18	960 	 + 14	124032
111/06/26	800 高雄市	91 其他  	60.0 	53.8 	30.0 	50.3 	 +133	"1,056 "	 - 22	53116.8
111/06/26	800 高雄市	919 其他 進口 	65.0 	65.0 	65.0 	65.0 	 +  8	640 	 +  7	41600
111/06/26	800 高雄市	A1 香蕉  	50.0 	40.0 	30.0 	40.0 	 +  6	"1,800 "	 - 25	72000
111/06/26	800 高雄市	B2 鳳梨 金鑽鳳梨 	38.6 	29.5 	20.0 	29.4 	 + 20	"6,670 "	 - 30	196098
111/06/26	800 高雄市	C9 椪柑 進口 	106.0 	93.6 	90.0 	95.3 	 - 20	90 	 - 44	8577
111/06/26	800 高雄市	E9 甜橙 進口 	77.8 	72.0 	66.7 	72.1 	 +  1	"1,764 "	 -  2	127184.4
111/06/26	800 高雄市	F1 雜柑 檸檬 	39.5 	31.2 	25.0 	31.6 	 - 21	560 	 - 20	17696
111/06/26	800 高雄市	F4 雜柑 桔子 	66.0 	58.0 	50.0 	58.0 	 +  7	300 	 - 23	17400
111/06/26	800 高雄市	G1 蛋黃果 仙桃 	30.0 	23.6 	20.0 	24.2 	  -  	180 	  -  	4356
111/06/26	800 高雄市	G3 酪梨  	100.0 	100.0 	65.5 	93.1 	 + 25	300 	 - 59	27930
111/06/26	800 高雄市	G49 奇異果 進口 	200.0 	169.9 	118.9 	165.7 	 +  5	774 	 - 36	128251.8
111/06/26	800 高雄市	G5 香瓜梨  	50.0 	50.0 	50.0 	50.0 	  -  	135 	  -  	6750
111/06/26	800 高雄市	H49 葡萄柚 紅肉進口 	41.7 	39.6 	38.9 	39.8 	 -  2	"1,152 "	 + 39	45849.6
111/06/26	800 高雄市	H5 葡萄柚 白肉 	22.2 	20.0 	17.8 	20.0 	  -  	36 	  -  	720
111/06/26	800 高雄市	I1 木瓜 網室紅肉 	40.0 	31.3 	24.9 	31.7 	 -  2	"3,406 "	 + 20	107970.2
111/06/26	800 高雄市	I4 木瓜 青木瓜 	25.0 	25.0 	25.0 	25.0 	  -  	"1,110 "	  -  	27750
111/06/26	800 高雄市	J0 荔枝 其他 	60.0 	60.0 	60.0 	60.0 	  -  	6 	  -  	360
111/06/26	800 高雄市	J2 荔枝 黑葉 	91.5 	61.6 	50.0 	65.3 	 +  3	"1,048 "	 +  6	68434.4
111/06/26	800 高雄市	J3 荔枝 糯米 	250.0 	250.0 	250.0 	250.0 	  -  	50 	  -  	12500
111/06/26	800 高雄市	N5 李 加州李 	100.0 	100.0 	100.0 	100.0 	  -  	270 	  -  	27000
111/06/26	800 高雄市	N6 李 泰安李 	84.5 	73.8 	70.0 	75.2 	 +  3	"1,590 "	 +194	119568
111/06/26	800 高雄市	O4 梨 新興梨 	121.7 	83.0 	67.9 	87.7 	 + 18	"2,446 "	 + 85	214514.2
111/06/26	800 高雄市	O5 梨 豐水梨 	24.6 	16.8 	12.0 	17.4 	 - 65	53 	 - 78	922.2
111/06/26	800 高雄市	P1 番石榴 珍珠芭 	40.0 	35.0 	30.0 	35.0 	 +  3	360 	 - 73	12600
111/06/26	800 高雄市	Q2 蓮霧 子彈型 	50.0 	50.0 	50.0 	50.0 	    0	162 	 + 50	8100
111/06/26	800 高雄市	R1 芒果 愛文 	109.1 	61.5 	50.0 	68.7 	 -  2	"1,692 "	 - 20	116240.4
111/06/26	800 高雄市	R6 芒果 金煌 	50.0 	40.0 	30.0 	40.0 	 -  7	345 	 - 89	13800
111/06/26	800 高雄市	S1 葡萄 巨峰 	112.6 	83.9 	60.9 	85.1 	 +  6	712 	 - 33	60591.2
111/06/26	800 高雄市	S9 葡萄 進口 	172.2 	99.1 	66.7 	107.2 	 - 13	"1,031 "	 - 28	110523.2
111/06/26	800 高雄市	T1 西瓜 大西瓜 	35.0 	25.7 	20.0 	26.4 	 +  9	"10,740 "	 - 18	283536
111/06/26	800 高雄市	T5 西瓜 黃肉 	30.0 	30.0 	30.0 	30.0 	 + 76	750 	 + 39	22500
111/06/26	800 高雄市	W2 洋香瓜 網狀綠肉 	62.8 	42.7 	30.0 	44.2 	 +  3	890 	 +  0	39338
111/06/26	800 高雄市	X69 蘋果 富士進口 	102.0 	67.7 	62.2 	73.5 	 -  7	"10,674 "	 -  7	784539
111/06/26	800 高雄市	Y2 桃子 鶯歌桃 	90.0 	79.4 	70.0 	79.7 	  -  	348 	  -  	27735.6
111/06/26	800 高雄市	Y9 桃子 進口 	439.6 	323.9 	279.6 	338.2 	 +  2	"1,225 "	 + 11	414295
111/06/28	800 高雄市	11 椰子  	18.0 	15.0 	12.0 	15.0 	 -  6	"3,000 "	 - 50	45000
111/06/28	800 高雄市	51 百香果 改良種 	79.8 	51.0 	37.7 	54.1 	 -  4	"1,979 "	 + 45	107063.9
111/06/28	800 高雄市	72 小番茄 聖女 	72.3 	66.7 	60.0 	66.5 	 -  5	"1,100 "	 +267	73150
111/06/28	800 高雄市	74 小番茄 玉女 	160.0 	160.0 	160.0 	160.0 	  -  	30 	  -  	4800
111/06/28	800 高雄市	811 火龍果 白肉 	35.0 	17.4 	14.0 	20.3 	 - 46	"2,419 "	 +519	49105.7
111/06/28	800 高雄市	812 火龍果 紅肉 	58.8 	40.6 	27.6 	41.7 	 + 26	"20,982 "	 +365	874949.4
111/06/28	800 高雄市	839 櫻桃 進口 	600.0 	558.6 	500.0 	555.2 	 -  6	165 	 - 41	91608
111/06/28	800 高雄市	859 榴槤 進口 	150.0 	135.9 	116.7 	134.8 	 +  4	"1,320 "	 + 38	177936
111/06/28	800 高雄市	91 其他  	36.3 	12.6 	12.0 	17.3 	 - 66	"1,182 "	 + 12	20448.6
111/06/28	800 高雄市	A1 香蕉  	50.0 	38.1 	29.4 	38.7 	 -  3	"3,895 "	 +116	150736.5
111/06/28	800 高雄市	A2 香蕉 芭蕉紅芭蕉 	45.0 	32.9 	25.0 	33.8 	  -  	"1,198 "	  -  	40492.4
111/06/28	800 高雄市	B2 鳳梨 金鑽鳳梨 	31.7 	25.7 	22.6 	26.3 	 - 11	"22,248 "	 +234	585122.4
111/06/28	800 高雄市	C9 椪柑 進口 	140.0 	135.6 	120.0 	133.3 	 + 40	300 	 +233	39990
111/06/28	800 高雄市	E9 甜橙 進口 	72.2 	68.5 	66.7 	68.9 	 -  4	900 	 - 49	62010
111/06/28	800 高雄市	F1 雜柑 檸檬 	40.0 	36.9 	33.3 	36.8 	 + 16	"1,088 "	 + 94	40038.4
111/06/28	800 高雄市	F4 雜柑 桔子 	65.0 	62.5 	60.0 	62.5 	 +  8	150 	 - 50	9375
111/06/28	800 高雄市	G1 蛋黃果 仙桃 	25.0 	24.1 	20.0 	23.4 	 -  3	288 	 + 60	6739.2
111/06/28	800 高雄市	G2 黃金果  	100.0 	100.0 	100.0 	100.0 	  -  	60 	  -  	6000
111/06/28	800 高雄市	G3 酪梨  	87.6 	73.2 	64.0 	74.3 	 - 20	"4,260 "	 +999	316518
111/06/28	800 高雄市	G49 奇異果 進口 	200.0 	172.5 	121.2 	167.7 	 +  1	"1,026 "	 + 33	172060.2
111/06/28	800 高雄市	H5 葡萄柚 白肉 	16.7 	16.7 	16.7 	16.7 	 - 17	36 	    0	601.2
111/06/28	800 高雄市	I1 木瓜 網室紅肉 	40.0 	33.6 	29.9 	34.1 	 +  8	"13,417 "	 +294	457519.7
111/06/28	800 高雄市	I4 木瓜 青木瓜 	25.0 	25.0 	25.0 	25.0 	    0	"2,680 "	 +141	67000
111/06/28	800 高雄市	J2 荔枝 黑葉 	90.0 	73.7 	70.0 	76.2 	 + 17	905 	 - 14	68961
111/06/28	800 高雄市	J3 荔枝 糯米 	250.0 	250.0 	250.0 	250.0 	    0	60 	 + 20	15000
111/06/28	800 高雄市	J4 荔枝 竹葉黑 	72.2 	60.0 	60.0 	62.4 	  -  	296 	  -  	18470.4
111/06/28	800 高雄市	N0 李 其他 	98.8 	58.8 	50.0 	65.0 	  -  	"2,829 "	  -  	183885
111/06/28	800 高雄市	N5 李 加州李 	100.0 	100.0 	100.0 	100.0 	    0	45 	 - 83	4500
111/06/28	800 高雄市	N6 李 泰安李 	80.0 	71.9 	70.0 	73.2 	 -  3	456 	 - 71	33379.2
111/06/28	800 高雄市	O4 梨 新興梨 	131.3 	73.6 	60.0 	82.4 	 -  6	"4,366 "	 + 78	359758.4
111/06/28	800 高雄市	O5 梨 豐水梨 	19.9 	8.0 	3.1 	9.4 	 - 46	53 	    0	498.2
111/06/28	800 高雄市	O8 梨 4029梨 	50.0 	45.0 	40.0 	45.0 	  -  	960 	  -  	43200
111/06/28	800 高雄市	P1 番石榴 珍珠芭 	50.0 	37.8 	30.0 	38.7 	 + 11	"4,159 "	 +999	160953.3
111/06/28	800 高雄市	Q2 蓮霧 子彈型 	52.4 	43.3 	40.0 	44.5 	 - 11	510 	 +215	22695
111/06/28	800 高雄市	R0 芒果 其他 	50.0 	50.0 	50.0 	50.0 	  -  	120 	  -  	6000
111/06/28	800 高雄市	R1 芒果 愛文 	116.6 	72.6 	50.0 	76.9 	 + 12	"3,096 "	 + 83	238082.4
111/06/28	800 高雄市	R2 芒果 玉文 	75.0 	66.7 	56.1 	66.2 	  -  	428 	  -  	28333.6
111/06/28	800 高雄市	R3 芒果 本島 	90.0 	82.6 	70.0 	81.6 	  -  	348 	  -  	28396.8
111/06/28	800 高雄市	R5 芒果 黑香金興 	70.0 	68.1 	65.0 	67.9 	  -  	196 	  -  	13308.4
111/06/28	800 高雄市	R6 芒果 金煌 	62.3 	45.8 	35.0 	46.9 	 + 17	"4,850 "	 +999	227465
111/06/28	800 高雄市	S1 葡萄 巨峰 	120.0 	91.5 	54.1 	89.7 	 +  5	"2,120 "	 +198	190164
111/06/28	800 高雄市	S9 葡萄 進口 	216.4 	109.0 	88.9 	126.5 	 + 18	937 	 -  9	118530.5
111/06/28	800 高雄市	T1 西瓜 大西瓜 	38.8 	25.3 	20.0 	27.0 	 +  2	"28,290 "	 +163	763830
111/06/28	800 高雄市	V1 甜瓜 美濃 	36.0 	36.0 	36.0 	36.0 	  -  	400 	  -  	14400
111/06/28	800 高雄市	W1 洋香瓜 網狀紅肉 	18.8 	18.8 	18.8 	18.8 	  -  	88 	  -  	1654.4
111/06/28	800 高雄市	W2 洋香瓜 網狀綠肉 	60.0 	42.4 	31.0 	43.6 	 -  1	"1,884 "	 +112	82142.4
111/06/28	800 高雄市	X69 蘋果 富士進口 	114.5 	69.2 	62.3 	76.9 	 +  5	"11,152 "	 +  4	857588.8
111/06/28	800 高雄市	Y0 桃子 其他 	72.8 	50.9 	50.0 	55.1 	  -  	235 	  -  	12948.5
111/06/28	800 高雄市	Y2 桃子 鶯歌桃 	90.0 	82.1 	80.0 	83.3 	 +  5	600 	 + 72	49980
111/06/28	800 高雄市	Y9 桃子 進口 	376.6 	338.8 	295.6 	337.7 	 -  0	"1,630 "	 + 33	550451
111/06/29	800 高雄市	51 百香果 改良種 	81.3 	53.7 	32.5 	55.0 	 +  2	"1,444 "	 - 27	79420
111/06/29	800 高雄市	72 小番茄 聖女 	70.0 	64.9 	60.0 	64.9 	 -  2	374 	 - 66	24272.6
111/06/29	800 高雄市	811 火龍果 白肉 	25.1 	15.6 	10.5 	16.5 	 - 19	"1,410 "	 - 42	23265
111/06/29	800 高雄市	812 火龍果 紅肉 	52.7 	31.7 	19.2 	33.4 	 - 20	"10,563 "	 - 50	352804.2
111/06/29	800 高雄市	839 櫻桃 進口 	671.3 	567.8 	513.1 	577.6 	 +  4	428 	 +159	247212.8
111/06/29	800 高雄市	859 榴槤 進口 	147.5 	131.5 	116.7 	131.7 	 -  2	864 	 - 35	113788.8
111/06/29	800 高雄市	91 其他  	30.0 	29.4 	20.0 	27.7 	 + 60	"1,605 "	 + 36	44458.5
111/06/29	800 高雄市	919 其他 進口 	60.0 	60.0 	60.0 	60.0 	  -  	600 	  -  	36000
111/06/29	800 高雄市	A1 香蕉  	50.0 	37.5 	30.0 	38.5 	 -  1	"3,200 "	 - 18	123200
111/06/29	800 高雄市	A2 香蕉 芭蕉紅芭蕉 	30.0 	30.0 	30.0 	30.0 	 - 11	72 	 - 94	2160
111/06/29	800 高雄市	B2 鳳梨 金鑽鳳梨 	31.4 	22.9 	20.0 	24.0 	 -  9	"5,314 "	 - 76	127536
111/06/29	800 高雄市	C9 椪柑 進口 	150.0 	121.8 	94.9 	122.1 	 -  8	530 	 + 77	64713
111/06/29	800 高雄市	E9 甜橙 進口 	72.2 	70.5 	63.6 	69.4 	 +  1	"1,620 "	 + 80	112428
