日　　期	市　　場	產　　品	上價	中價	下價	平均價(元/公斤)	增減%	交易量(公斤)	增減%	
111/04/14	800 高雄市	C2 茂谷柑  	57.1 	37.3 	23.6 	38.5 	 + 23	"4,957 "	 +405	190844.5
111/04/14	800 高雄市	C9 椪柑 進口 	135.8 	120.0 	120.0 	123.2 	 - 10	190 	 - 39	23408
111/04/14	800 高雄市	D1 桶柑  	27.9 	21.1 	13.9 	21.0 	 +  5	"3,078 "	 - 30	64638
111/04/14	800 高雄市	E1 甜橙 柳橙 	40.0 	35.9 	35.0 	36.5 	 -  2	195 	 - 38	7117.5
111/04/14	800 高雄市	E9 甜橙 進口 	81.4 	73.8 	66.7 	73.9 	 +  2	"2,124 "	 - 25	156963.6
111/04/14	800 高雄市	F1 雜柑 檸檬 	80.0 	75.0 	70.0 	75.0 	 + 19	840 	 + 58	63000
111/04/14	800 高雄市	F2 雜柑 金棗 	50.0 	50.0 	50.0 	50.0 	  -  	150 	  -  	7500
111/04/14	800 高雄市	F4 雜柑 桔子 	160.0 	130.0 	100.0 	130.0 	 +  2	220 	 +100	28600
111/04/14	800 高雄市	G1 蛋黃果 仙桃 	30.0 	23.8 	20.0 	24.3 	 +  4	387 	 - 50	9404.1
111/04/14	800 高雄市	G2 黃金果  	135.0 	111.6 	80.0 	110.0 	 + 18	210 	 - 42	23100
111/04/14	800 高雄市	G49 奇異果 進口 	153.5 	122.0 	110.0 	125.9 	 +  1	192 	 + 10	24172.8
111/04/14	800 高雄市	G5 香瓜梨  	70.0 	64.4 	56.5 	64.0 	  -  	860 	  -  	55040
111/04/14	800 高雄市	H4 葡萄柚 紅肉 	20.0 	20.0 	20.0 	20.0 	  -  	405 	  -  	8100
111/04/14	800 高雄市	I1 木瓜 網室紅肉 	60.5 	47.2 	36.5 	47.7 	 + 11	"8,744 "	 +119	417088.8
111/04/14	800 高雄市	I4 木瓜 青木瓜 	30.0 	30.0 	30.0 	30.0 	    0	"1,930 "	 +130	57900
